STATE/UT,YEAR,CRIME HEAD,Male 16-18 years,Female 16-18 years,Total 16-18 years,Male 18-30 years,Female 18-30 years,Total 18-30 years,Male 30-50 years,Female 30-50 years,Total 30-50 years,Male Above 50 years,Female Above 50 years,Total Above 50 years,Total Male,Total Female,Grand Total
Andhra Pradesh,2001,Murder,6,2,8,522,33,555,491,42,533,65,6,71,1084,83,1167
Andhra Pradesh,2001,Attempt To Commit Murder,5,0,5,221,3,224,214,10,224,14,2,16,454,15,469
Andhra Pradesh,2001,C.H. Not Amounting To Murder,2,0,2,103,5,108,102,5,107,9,0,9,216,10,226
Andhra Pradesh,2001,Rape,7,0,7,172,3,175,141,2,143,7,0,7,327,5,332
Andhra Pradesh,2001,Kidnapping And Abduction,6,0,6,75,4,79,53,0,53,5,1,6,139,5,144
Andhra Pradesh,2001,Dacoity,6,0,6,409,4,413,286,5,291,17,0,17,718,9,727
Andhra Pradesh,2001,Prep. And Assembly For Dacoity,0,0,0,18,0,18,26,0,26,0,0,0,44,0,44
Andhra Pradesh,2001,Robbery,3,0,3,152,3,155,93,0,93,9,0,9,257,3,260
Andhra Pradesh,2001,Burglary,22,0,22,195,0,195,91,3,94,5,0,5,313,3,316
Andhra Pradesh,2001,Thefts,28,0,28,704,27,731,468,30,498,43,1,44,1243,58,1301
Andhra Pradesh,2001,Extortion,7,0,7,4,0,4,0,0,0,0,0,0,11,0,11
Andhra Pradesh,2001,Riots,0,0,0,57,2,59,35,0,35,7,1,8,99,3,102
Andhra Pradesh,2001,Arson,0,0,0,7,0,7,5,0,5,0,0,0,12,0,12
Andhra Pradesh,2001,Criminal Breach Of Trust,1,0,1,9,0,9,16,0,16,0,0,0,26,0,26
Andhra Pradesh,2001,Cheating,2,0,2,66,8,74,86,1,87,30,3,33,184,12,196
Andhra Pradesh,2001,Counter Feiting,0,0,0,5,0,5,7,1,8,1,1,2,13,2,15
Andhra Pradesh,2001,Dowry Deaths,0,0,0,18,0,18,22,5,27,5,0,5,45,5,50
Andhra Pradesh,2001,Molestation,3,0,3,31,0,31,12,0,12,3,0,3,49,0,49
Andhra Pradesh,2001,Eve-Teasing,0,0,0,4,0,4,2,0,2,0,0,0,6,0,6
Andhra Pradesh,2001,Cruelty By Husband Or Relative Of Husband,1,0,1,45,3,48,48,5,53,6,4,10,100,12,112
Andhra Pradesh,2001,Other Ipc Crimes,10,0,10,326,22,348,320,40,360,40,7,47,696,69,765
Andhra Pradesh,2002,Murder,2,0,2,568,37,605,442,27,469,62,8,70,1074,72,1146
Andhra Pradesh,2002,Attempt To Commit Murder,0,0,0,221,6,227,185,14,199,30,3,33,436,23,459
Andhra Pradesh,2002,C.H. Not Amounting To Murder,0,0,0,75,5,80,83,22,105,13,4,17,171,31,202
Andhra Pradesh,2002,Rape,7,0,7,174,2,176,110,4,114,17,0,17,308,6,314
Andhra Pradesh,2002,Kidnapping And Abduction,3,0,3,99,8,107,78,4,82,6,1,7,186,13,199
Andhra Pradesh,2002,Dacoity,0,0,0,240,3,243,252,1,253,38,0,38,530,4,534
Andhra Pradesh,2002,Prep. And Assembly For Dacoity,0,0,0,21,0,21,24,0,24,2,0,2,47,0,47
Andhra Pradesh,2002,Robbery,0,0,0,168,0,168,105,2,107,8,0,8,281,2,283
Andhra Pradesh,2002,Burglary,0,0,0,118,0,118,71,1,72,1,0,1,190,1,191
Andhra Pradesh,2002,Thefts,25,0,25,576,30,606,421,23,444,52,2,54,1074,55,1129
Andhra Pradesh,2002,Extortion,4,0,4,39,1,40,31,0,31,2,0,2,76,1,77
Andhra Pradesh,2002,Riots,0,0,0,26,2,28,27,3,30,3,1,4,56,6,62
Andhra Pradesh,2002,Arson,0,0,0,15,2,17,14,0,14,1,0,1,30,2,32
Andhra Pradesh,2002,Criminal Breach Of Trust,0,0,0,2,0,2,6,0,6,3,2,5,11,2,13
Andhra Pradesh,2002,Cheating,0,0,0,52,2,54,139,9,148,22,0,22,213,11,224
Andhra Pradesh,2002,Counter Feiting,0,0,0,5,0,5,11,1,12,0,0,0,16,1,17
Andhra Pradesh,2002,Dowry Deaths,1,0,1,63,9,72,76,14,90,17,3,20,157,26,183
Andhra Pradesh,2002,Molestation,0,0,0,33,2,35,38,6,44,4,1,5,75,9,84
Andhra Pradesh,2002,Eve-Teasing,0,0,0,11,1,12,5,1,6,0,0,0,16,2,18
Andhra Pradesh,2002,Cruelty By Husband Or Relative Of Husband,0,0,0,78,9,87,99,21,120,24,7,31,201,37,238
Andhra Pradesh,2002,Other Ipc Crimes,0,0,0,190,8,198,167,14,181,13,6,19,370,28,398
Andhra Pradesh,2003,Murder,0,0,0,586,22,608,451,36,487,62,15,77,1099,73,1172
Andhra Pradesh,2003,Attempt To Commit Murder,0,0,0,226,5,231,187,12,199,31,4,35,444,21,465
Andhra Pradesh,2003,C.H. Not Amounting To Murder,0,0,0,74,4,78,81,17,98,12,3,15,167,24,191
Andhra Pradesh,2003,Rape,0,0,0,182,0,182,164,0,164,18,0,18,364,0,364
Andhra Pradesh,2003,Kidnapping And Abduction,0,0,0,111,7,118,76,4,80,6,0,6,193,11,204
Andhra Pradesh,2003,Dacoity,0,0,0,245,2,247,258,1,259,11,0,11,514,3,517
Andhra Pradesh,2003,Prep. And Assembly For Dacoity,0,0,0,23,0,23,26,0,26,3,0,3,52,0,52
Andhra Pradesh,2003,Robbery,0,0,0,170,0,170,156,1,157,9,0,9,335,1,336
Andhra Pradesh,2003,Burglary,0,0,0,119,0,119,73,0,73,2,0,2,194,0,194
Andhra Pradesh,2003,Thefts,0,0,0,605,29,634,557,54,611,13,12,25,1175,95,1270
Andhra Pradesh,2003,Extortion,0,0,0,43,3,46,32,0,32,3,0,3,78,3,81
Andhra Pradesh,2003,Riots,0,0,0,27,1,28,29,1,30,5,0,5,61,2,63
Andhra Pradesh,2003,Arson,0,0,0,17,2,19,15,0,15,2,0,2,34,2,36
Andhra Pradesh,2003,Criminal Breach Of Trust,0,0,0,7,1,8,9,0,9,4,0,4,20,1,21
Andhra Pradesh,2003,Cheating,0,0,0,55,3,58,141,7,148,4,0,4,200,10,210
Andhra Pradesh,2003,Counter Feiting,0,0,0,6,0,6,9,2,11,1,0,1,16,2,18
Andhra Pradesh,2003,Dowry Deaths,0,0,0,69,8,77,80,12,92,8,2,10,157,22,179
Andhra Pradesh,2003,Molestation,0,0,0,35,2,37,41,5,46,6,0,6,82,7,89
Andhra Pradesh,2003,Eve-Teasing,0,0,0,15,0,15,8,0,8,0,0,0,23,0,23
Andhra Pradesh,2003,Cruelty By Husband Or Relative Of Husband,0,0,0,82,2,84,101,22,123,14,6,20,197,30,227
Andhra Pradesh,2003,Other Ipc Crimes,0,0,0,191,3,194,171,14,185,4,5,9,366,22,388
Andhra Pradesh,2004,Murder,0,0,0,529,38,567,546,56,602,81,11,92,1156,105,1261
Andhra Pradesh,2004,Attempt To Commit Murder,0,0,0,228,4,232,201,9,210,25,3,28,454,16,470
Andhra Pradesh,2004,C.H. Not Amounting To Murder,0,0,0,80,2,82,75,9,84,8,4,12,163,15,178
Andhra Pradesh,2004,Rape,0,0,0,215,6,221,96,4,100,10,0,10,321,10,331
Andhra Pradesh,2004,Kidnapping And Abduction,0,0,0,143,0,143,88,7,95,6,1,7,237,8,245
Andhra Pradesh,2004,Dacoity,9,0,9,227,0,227,213,5,218,17,0,17,466,5,471
Andhra Pradesh,2004,Prep. And Assembly For Dacoity,0,0,0,15,0,15,11,3,14,2,1,3,28,4,32
Andhra Pradesh,2004,Robbery,3,0,3,90,1,91,75,2,77,11,0,11,179,3,182
Andhra Pradesh,2004,Burglary,0,0,0,104,0,104,98,6,104,16,0,16,218,6,224
Andhra Pradesh,2004,Thefts,7,0,7,820,20,840,553,33,586,94,1,95,1474,54,1528
Andhra Pradesh,2004,Extortion,0,0,0,36,0,36,17,0,17,4,0,4,57,0,57
Andhra Pradesh,2004,Riots,0,0,0,44,0,44,31,2,33,0,0,0,75,2,77
Andhra Pradesh,2004,Arson,0,0,0,16,0,16,8,0,8,1,0,1,25,0,25
Andhra Pradesh,2004,Criminal Breach Of Trust,0,0,0,4,0,4,21,0,21,2,0,2,27,0,27
Andhra Pradesh,2004,Cheating,0,0,0,109,1,110,178,14,192,26,2,28,313,17,330
Andhra Pradesh,2004,Counter Feiting,0,0,0,6,2,8,11,0,11,2,0,2,19,2,21
Andhra Pradesh,2004,Dowry Deaths,0,0,0,59,6,65,71,18,89,7,2,9,137,26,163
Andhra Pradesh,2004,Molestation,0,0,0,54,0,54,33,3,36,1,0,1,88,3,91
Andhra Pradesh,2004,Eve-Teasing,0,0,0,13,0,13,4,0,4,0,0,0,17,0,17
Andhra Pradesh,2004,Cruelty By Husband Or Relative Of Husband,0,0,0,104,6,110,100,16,116,11,10,21,215,32,247
Andhra Pradesh,2004,Other Ipc Crimes,0,0,0,246,13,259,226,19,245,35,8,43,507,40,547
Andhra Pradesh,2005,Murder,0,0,0,568,53,621,502,86,588,82,12,94,1152,151,1303
Andhra Pradesh,2005,Attempt To Commit Murder,0,0,0,216,21,237,235,37,272,24,2,26,475,60,535
Andhra Pradesh,2005,C.H. Not Amounting To Murder,0,0,0,54,1,55,64,10,74,5,1,6,123,12,135
Andhra Pradesh,2005,Rape,0,0,0,180,0,180,93,3,96,7,0,7,280,3,283
Andhra Pradesh,2005,Kidnapping And Abduction,0,0,0,105,8,113,66,3,69,1,0,1,172,11,183
Andhra Pradesh,2005,Dacoity,0,0,0,234,2,236,220,1,221,20,0,20,474,3,477
Andhra Pradesh,2005,Prep. And Assembly For Dacoity,0,0,0,37,0,37,20,0,20,2,0,2,59,0,59
Andhra Pradesh,2005,Robbery,0,0,0,155,1,156,97,1,98,7,0,7,259,2,261
Andhra Pradesh,2005,Burglary,0,0,0,152,6,158,61,0,61,5,0,5,218,6,224
Andhra Pradesh,2005,Thefts,0,0,0,1028,16,1044,685,21,706,81,3,84,1794,40,1834
Andhra Pradesh,2005,Extortion,0,0,0,54,1,55,34,0,34,0,0,0,88,1,89
Andhra Pradesh,2005,Riots,0,0,0,40,28,68,35,12,47,2,0,2,77,40,117
Andhra Pradesh,2005,Arson,0,0,0,21,0,21,15,0,15,1,0,1,37,0,37
Andhra Pradesh,2005,Criminal Breach Of Trust,0,0,0,10,0,10,20,0,20,0,0,0,30,0,30
Andhra Pradesh,2005,Cheating,0,0,0,74,0,74,128,8,136,16,3,19,218,11,229
Andhra Pradesh,2005,Counter Feiting,0,0,0,31,0,31,21,0,21,1,0,1,53,0,53
Andhra Pradesh,2005,Dowry Deaths,0,0,0,48,7,55,64,16,80,11,5,16,123,28,151
Andhra Pradesh,2005,Molestation,0,0,0,43,0,43,53,0,53,1,0,1,97,0,97
Andhra Pradesh,2005,Eve-Teasing,0,0,0,26,0,26,6,0,6,3,0,3,35,0,35
Andhra Pradesh,2005,Cruelty By Husband Or Relative Of Husband,0,0,0,89,9,98,138,27,165,23,7,30,250,43,293
Andhra Pradesh,2005,Other Ipc Crimes,0,0,0,270,16,286,223,21,244,47,6,53,540,43,583
Andhra Pradesh,2006,Murder,0,0,0,591,51,642,640,58,698,147,12,159,1378,121,1499
Andhra Pradesh,2006,Attempt To Commit Murder,0,0,0,217,14,231,300,13,313,63,7,70,580,34,614
Andhra Pradesh,2006,C.H. Not Amounting To Murder,0,0,0,46,6,52,65,3,68,14,3,17,125,12,137
Andhra Pradesh,2006,Rape,0,0,0,169,1,170,147,5,152,14,0,14,330,6,336
Andhra Pradesh,2006,Kidnapping And Abduction,0,0,0,156,11,167,112,10,122,8,0,8,276,21,297
Andhra Pradesh,2006,Dacoity,0,0,0,257,5,262,189,4,193,6,0,6,452,9,461
Andhra Pradesh,2006,Prep. And Assembly For Dacoity,0,0,0,40,0,40,53,0,53,10,0,10,103,0,103
Andhra Pradesh,2006,Robbery,0,0,0,94,2,96,110,1,111,22,0,22,226,3,229
Andhra Pradesh,2006,Burglary,0,0,0,89,2,91,56,4,60,14,0,14,159,6,165
Andhra Pradesh,2006,Thefts,0,0,0,866,14,880,656,26,682,82,5,87,1604,45,1649
Andhra Pradesh,2006,Extortion,0,0,0,72,0,72,66,0,66,16,0,16,154,0,154
Andhra Pradesh,2006,Riots,0,0,0,20,7,27,82,4,86,6,0,6,108,11,119
Andhra Pradesh,2006,Arson,0,0,0,5,0,5,13,0,13,1,0,1,19,0,19
Andhra Pradesh,2006,Criminal Breach Of Trust,0,0,0,9,0,9,20,0,20,9,1,10,38,1,39
Andhra Pradesh,2006,Cheating,0,0,0,58,8,66,130,9,139,13,1,14,201,18,219
Andhra Pradesh,2006,Counter Feiting,0,0,0,15,0,15,20,1,21,0,0,0,35,1,36
Andhra Pradesh,2006,Dowry Deaths,0,0,0,38,13,51,72,19,91,20,18,38,130,50,180
Andhra Pradesh,2006,Molestation,0,0,0,64,0,64,42,2,44,1,0,1,107,2,109
Andhra Pradesh,2006,Eve-Teasing,0,0,0,18,0,18,8,0,8,0,0,0,26,0,26
Andhra Pradesh,2006,Cruelty By Husband Or Relative Of Husband,0,0,0,100,10,110,170,25,195,26,0,26,296,35,331
Andhra Pradesh,2006,Other Ipc Crimes,0,0,0,234,35,269,315,24,339,81,12,93,630,71,701
Andhra Pradesh,2007,Murder,0,0,0,596,54,650,478,53,531,75,16,91,1149,123,1272
Andhra Pradesh,2007,Attempt To Commit Murder,0,0,0,236,13,249,230,14,244,25,4,29,491,31,522
Andhra Pradesh,2007,C.H. Not Amounting To Murder,0,0,0,102,1,103,84,8,92,8,3,11,194,12,206
Andhra Pradesh,2007,Rape,0,0,0,174,3,177,133,2,135,25,0,25,332,5,337
Andhra Pradesh,2007,Kidnapping And Abduction,0,0,0,136,9,145,88,20,108,12,0,12,236,29,265
Andhra Pradesh,2007,Dacoity,0,0,0,183,1,184,144,3,147,25,0,25,352,4,356
Andhra Pradesh,2007,Prep. And Assembly For Dacoity,0,0,0,21,1,22,35,2,37,1,0,1,57,3,60
Andhra Pradesh,2007,Robbery,0,0,0,121,1,122,89,5,94,9,0,9,219,6,225
Andhra Pradesh,2007,Burglary,0,0,0,131,4,135,108,2,110,6,1,7,245,7,252
Andhra Pradesh,2007,Thefts,0,0,0,800,14,814,1098,45,1143,160,7,167,2058,66,2124
Andhra Pradesh,2007,Extortion,0,0,0,18,0,18,19,0,19,1,0,1,38,0,38
Andhra Pradesh,2007,Riots,0,0,0,43,4,47,26,3,29,0,0,0,69,7,76
Andhra Pradesh,2007,Arson,0,0,0,10,0,10,10,0,10,4,0,4,24,0,24
Andhra Pradesh,2007,Criminal Breach Of Trust,0,0,0,9,0,9,21,0,21,1,0,1,31,0,31
Andhra Pradesh,2007,Cheating,0,0,0,47,1,48,114,6,120,21,4,25,182,11,193
Andhra Pradesh,2007,Counter Feiting,0,0,0,21,2,23,25,0,25,5,0,5,51,2,53
Andhra Pradesh,2007,Dowry Deaths,0,0,0,45,5,50,60,19,79,12,3,15,117,27,144
Andhra Pradesh,2007,Molestation,0,0,0,53,2,55,55,0,55,4,0,4,112,2,114
Andhra Pradesh,2007,Eve-Teasing,0,0,0,24,0,24,0,0,0,2,0,2,26,0,26
Andhra Pradesh,2007,Cruelty By Husband Or Relative Of Husband,0,0,0,123,5,128,172,29,201,37,10,47,332,44,376
Andhra Pradesh,2007,Other Ipc Crimes,0,0,0,240,9,249,539,51,590,91,5,96,870,65,935
Andhra Pradesh,2008,Murder,0,0,0,522,44,566,505,55,560,69,8,77,1096,107,1203
Andhra Pradesh,2008,Attempt To Commit Murder,0,0,0,206,12,218,174,17,191,21,0,21,401,29,430
Andhra Pradesh,2008,C.H. Not Amounting To Murder,0,0,0,64,3,67,68,5,73,17,4,21,149,12,161
Andhra Pradesh,2008,Rape,0,0,0,128,0,128,115,1,116,21,0,21,264,1,265
Andhra Pradesh,2008,Kidnapping And Abduction,0,0,0,167,9,176,136,13,149,4,0,4,307,22,329
Andhra Pradesh,2008,Dacoity,0,0,0,168,2,170,173,1,174,57,0,57,398,3,401
Andhra Pradesh,2008,Prep. And Assembly For Dacoity,0,0,0,14,0,14,32,0,32,0,0,0,46,0,46
Andhra Pradesh,2008,Robbery,0,0,0,98,3,101,66,5,71,3,0,3,167,8,175
Andhra Pradesh,2008,Burglary,0,0,0,123,6,129,115,0,115,24,0,24,262,6,268
Andhra Pradesh,2008,Thefts,0,0,0,834,20,854,966,61,1027,161,4,165,1961,85,2046
Andhra Pradesh,2008,Extortion,0,0,0,32,1,33,21,0,21,1,0,1,54,1,55
Andhra Pradesh,2008,Riots,0,0,0,15,0,15,21,1,22,6,0,6,42,1,43
Andhra Pradesh,2008,Arson,0,0,0,6,0,6,12,0,12,0,0,0,18,0,18
Andhra Pradesh,2008,Criminal Breach Of Trust,0,0,0,6,0,6,4,0,4,0,0,0,10,0,10
Andhra Pradesh,2008,Cheating,0,0,0,33,2,35,64,1,65,16,0,16,113,3,116
Andhra Pradesh,2008,Counter Feiting,0,0,0,21,0,21,13,2,15,3,0,3,37,2,39
Andhra Pradesh,2008,Dowry Deaths,0,0,0,60,2,62,74,24,98,21,10,31,155,36,191
Andhra Pradesh,2008,Molestation,0,0,0,78,1,79,64,1,65,6,0,6,148,2,150
Andhra Pradesh,2008,Eve-Teasing,0,0,0,28,0,28,33,0,33,6,2,8,67,2,69
Andhra Pradesh,2008,Cruelty By Husband Or Relative Of Husband,0,0,0,104,7,111,176,23,199,29,5,34,309,35,344
Andhra Pradesh,2008,Other Ipc Crimes,0,0,0,135,9,144,320,23,343,76,4,80,531,36,567
Andhra Pradesh,2009,Murder,0,0,0,352,36,388,538,61,599,59,7,66,949,104,1053
Andhra Pradesh,2009,Attempt To Commit Murder,0,0,0,134,5,139,165,9,174,33,2,35,332,16,348
Andhra Pradesh,2009,C.H. Not Amounting To Murder,0,0,0,62,8,70,69,10,79,16,2,18,147,20,167
Andhra Pradesh,2009,Rape,0,0,0,100,1,101,154,5,159,3,0,3,257,6,263
Andhra Pradesh,2009,Kidnapping And Abduction,0,0,0,92,5,97,100,16,116,8,1,9,200,22,222
Andhra Pradesh,2009,Dacoity,0,0,0,127,2,129,185,1,186,9,1,10,321,4,325
Andhra Pradesh,2009,Prep. And Assembly For Dacoity,0,0,0,9,0,9,19,0,19,0,0,0,28,0,28
Andhra Pradesh,2009,Robbery,0,0,0,53,0,53,60,0,60,4,0,4,117,0,117
Andhra Pradesh,2009,Burglary,0,0,0,71,0,71,50,0,50,3,0,3,124,0,124
Andhra Pradesh,2009,Thefts,0,0,0,846,32,878,839,35,874,121,12,133,1806,79,1885
Andhra Pradesh,2009,Extortion,0,0,0,23,0,23,19,1,20,0,0,0,42,1,43
Andhra Pradesh,2009,Riots,0,0,0,13,0,13,17,2,19,2,0,2,32,2,34
Andhra Pradesh,2009,Arson,0,0,0,32,0,32,32,2,34,0,0,0,64,2,66
Andhra Pradesh,2009,Criminal Breach Of Trust,0,0,0,15,1,16,9,1,10,1,0,1,25,2,27
Andhra Pradesh,2009,Cheating,0,0,0,66,6,72,56,7,63,24,1,25,146,14,160
Andhra Pradesh,2009,Counter Feiting,0,0,0,10,0,10,12,0,12,1,0,1,23,0,23
Andhra Pradesh,2009,Dowry Deaths,0,0,0,66,5,71,68,20,88,13,6,19,147,31,178
Andhra Pradesh,2009,Molestation,0,0,0,50,0,50,59,0,59,0,0,0,109,0,109
Andhra Pradesh,2009,Eve-Teasing,0,0,0,26,0,26,20,0,20,1,0,1,47,0,47
Andhra Pradesh,2009,Cruelty By Husband Or Relative Of Husband,0,0,0,200,10,210,214,23,237,42,6,48,456,39,495
Andhra Pradesh,2009,Other Ipc Crimes,0,0,0,231,27,258,375,43,418,37,14,51,643,84,727
Andhra Pradesh,2010,Murder,0,0,0,451,32,483,416,52,468,65,5,70,932,89,1021
Andhra Pradesh,2010,Attempt To Commit Murder,0,0,0,135,8,143,187,9,196,22,3,25,344,20,364
Andhra Pradesh,2010,C.H. Not Amounting To Murder,0,0,0,61,4,65,35,15,50,4,2,6,100,21,121
Andhra Pradesh,2010,Rape,0,0,0,123,5,128,114,27,141,22,1,23,259,33,292
Andhra Pradesh,2010,Kidnapping And Abduction,0,0,0,88,4,92,115,13,128,5,1,6,208,18,226
Andhra Pradesh,2010,Dacoity,0,0,0,140,4,144,176,4,180,14,0,14,330,8,338
Andhra Pradesh,2010,Prep. And Assembly For Dacoity,0,0,0,22,1,23,16,1,17,1,0,1,39,2,41
Andhra Pradesh,2010,Robbery,0,0,0,77,1,78,77,0,77,9,0,9,163,1,164
Andhra Pradesh,2010,Burglary,0,0,0,113,2,115,94,7,101,11,0,11,218,9,227
Andhra Pradesh,2010,Thefts,0,0,0,699,28,727,714,27,741,95,3,98,1508,58,1566
Andhra Pradesh,2010,Extortion,0,0,0,37,0,37,26,0,26,1,0,1,64,0,64
Andhra Pradesh,2010,Riots,0,0,0,29,0,29,19,1,20,1,0,1,49,1,50
Andhra Pradesh,2010,Arson,0,0,0,14,0,14,7,0,7,0,0,0,21,0,21
Andhra Pradesh,2010,Criminal Breach Of Trust,0,0,0,13,4,17,13,1,14,6,2,8,32,7,39
Andhra Pradesh,2010,Cheating,0,0,0,41,5,46,70,9,79,22,3,25,133,17,150
Andhra Pradesh,2010,Counter Feiting,0,0,0,17,0,17,16,0,16,1,0,1,34,0,34
Andhra Pradesh,2010,Dowry Deaths,0,0,0,41,3,44,76,15,91,12,3,15,129,21,150
Andhra Pradesh,2010,Molestation,0,0,0,56,2,58,45,1,46,5,0,5,106,3,109
Andhra Pradesh,2010,Eve-Teasing,0,0,0,23,0,23,9,0,9,3,0,3,35,0,35
Andhra Pradesh,2010,Cruelty By Husband Or Relative Of Husband,0,0,0,120,11,131,210,28,238,16,4,20,346,43,389
Andhra Pradesh,2010,Other Ipc Crimes,0,0,0,301,20,321,360,51,411,68,5,73,729,76,805
Andhra Pradesh,2011,Murder,0,0,0,514,51,565,529,68,597,62,12,74,1105,131,1236
Andhra Pradesh,2011,Attempt To Commit Murder,0,0,0,191,10,201,191,17,208,25,4,29,407,31,438
Andhra Pradesh,2011,C.H. Not Amounting To Murder,0,0,0,62,1,63,69,10,79,9,0,9,140,11,151
Andhra Pradesh,2011,Rape,0,0,0,131,2,133,128,1,129,9,0,9,268,3,271
Andhra Pradesh,2011,Kidnapping And Abduction,0,0,0,136,7,143,124,10,134,3,0,3,263,17,280
Andhra Pradesh,2011,Dacoity,0,0,0,145,0,145,108,3,111,16,0,16,269,3,272
Andhra Pradesh,2011,Prep. And Assembly For Dacoity,0,0,0,3,0,3,5,0,5,1,0,1,9,0,9
Andhra Pradesh,2011,Robbery,0,0,0,102,0,102,144,2,146,9,0,9,255,2,257
Andhra Pradesh,2011,Burglary,0,0,0,81,5,86,87,2,89,22,0,22,190,7,197
Andhra Pradesh,2011,Thefts,0,0,0,897,27,924,1102,53,1155,124,7,131,2123,87,2210
Andhra Pradesh,2011,Extortion,0,0,0,55,0,55,37,1,38,1,0,1,93,1,94
Andhra Pradesh,2011,Riots,0,0,0,8,0,8,7,0,7,1,0,1,16,0,16
Andhra Pradesh,2011,Arson,0,0,0,9,0,9,6,0,6,2,0,2,17,0,17
Andhra Pradesh,2011,Criminal Breach Of Trust,0,0,0,3,0,3,12,0,12,0,0,0,15,0,15
Andhra Pradesh,2011,Cheating,0,0,0,97,7,104,132,9,141,20,2,22,249,18,267
Andhra Pradesh,2011,Counter Feiting,0,0,0,11,0,11,17,4,21,4,1,5,32,5,37
Andhra Pradesh,2011,Dowry Deaths,0,0,0,63,3,66,92,15,107,15,8,23,170,26,196
Andhra Pradesh,2011,Molestation,0,0,0,59,2,61,43,2,45,5,0,5,107,4,111
Andhra Pradesh,2011,Eve-Teasing,0,0,0,38,0,38,7,0,7,0,0,0,45,0,45
Andhra Pradesh,2011,Cruelty By Husband Or Relative Of Husband,0,0,0,140,5,145,208,16,224,16,9,25,364,30,394
Andhra Pradesh,2011,Other Ipc Crimes,0,0,0,309,24,333,355,35,390,65,10,75,729,69,798
Andhra Pradesh,2012,Murder,0,0,0,418,40,458,476,77,553,75,14,89,969,131,1100
