STATE/UT,YEAR,DETAILS,Male,Female,Total
ANDHRA PRADESH,2001,Parole released - Number of persons released on parole,344,0,344
ANDHRA PRADESH,2001,Parole released - Number of parole absconders,10,0,10
ANDHRA PRADESH,2001,Parole released - Number of parole absconders rearrested,2,0,2
ANDHRA PRADESH,2002,Parole released - Number of persons released on parole,285,1,286
ANDHRA PRADESH,2002,Parole released - Number of parole absconders,70,0,70
ANDHRA PRADESH,2002,Parole released - Number of parole absconders rearrested,4,0,4
ANDHRA PRADESH,2003,Parole released - Number of persons released on parole,517,0,517
ANDHRA PRADESH,2003,Parole released - Number of parole absconders,2,0,2
ANDHRA PRADESH,2003,Parole released - Number of parole absconders rearrested,0,0,0
ANDHRA PRADESH,2004,Parole released - Number of persons released on parole,389,1,390
ANDHRA PRADESH,2004,Parole released - Number of parole absconders,4,0,4
ANDHRA PRADESH,2004,Parole released - Number of parole absconders rearrested,2,0,2
ANDHRA PRADESH,2005,Parole released - Number of persons released on parole,328,2,330
ANDHRA PRADESH,2005,Parole released - Number of parole absconders,7,0,7
ANDHRA PRADESH,2005,Parole released - Number of parole absconders rearrested,3,0,3
ANDHRA PRADESH,2006,Parole released - Number of persons released on parole,400,1,401
ANDHRA PRADESH,2006,Parole released - Number of parole absconders,2,0,2
ANDHRA PRADESH,2006,Parole released - Number of parole absconders rearrested,28,0,28
ANDHRA PRADESH,2007,Parole released - Number of persons released on parole,364,1,365
ANDHRA PRADESH,2007,Parole released - Number of parole absconders,5,0,5
ANDHRA PRADESH,2007,Parole released - Number of parole absconders rearrested,5,0,5
ANDHRA PRADESH,2008,Parole released - Number of persons released on parole,685,0,685
ANDHRA PRADESH,2008,Parole released - Number of parole absconders,4,0,4
ANDHRA PRADESH,2008,Parole released - Number of parole absconders rearrested,2,0,2
ANDHRA PRADESH,2009,Parole released - Number of persons released on parole,656,1,657
ANDHRA PRADESH,2009,Parole released - Number of parole absconders,3,0,3
ANDHRA PRADESH,2009,Parole released - Number of parole absconders rearrested,3,0,3
ANDHRA PRADESH,2010,Parole released - Number of persons released on parole,603,2,605
ANDHRA PRADESH,2010,Parole released - Number of parole absconders,2,0,2
ANDHRA PRADESH,2010,Parole released - Number of parole absconders rearrested,0,0,0
ANDHRA PRADESH,2011,Parole released - Number of persons released on parole,451,4,455
ANDHRA PRADESH,2011,Parole released - Number of parole absconders,2,0,2
ANDHRA PRADESH,2011,Parole released - Number of parole absconders rearrested,3,0,3
ANDHRA PRADESH,2012,Parole released - Number of persons released on parole,659,9,668
ANDHRA PRADESH,2012,Parole released - Number of parole absconders,5,0,5
ANDHRA PRADESH,2012,Parole released - Number of parole absconders rearrested,5,0,5
ARUNACHAL PRADESH,2009,Parole released - Number of persons released on parole,0,0,0
ARUNACHAL PRADESH,2009,Parole released - Number of parole absconders,0,0,0
ARUNACHAL PRADESH,2009,Parole released - Number of parole absconders rearrested,0,0,0
ARUNACHAL PRADESH,2010,Parole released - Number of persons released on parole,0,0,0
ARUNACHAL PRADESH,2010,Parole released - Number of parole absconders,0,0,0
ARUNACHAL PRADESH,2010,Parole released - Number of parole absconders rearrested,0,0,0
ARUNACHAL PRADESH,2011,Parole released - Number of persons released on parole,0,0,0
ARUNACHAL PRADESH,2011,Parole released - Number of parole absconders,0,0,0
ARUNACHAL PRADESH,2011,Parole released - Number of parole absconders rearrested,0,0,0
ARUNACHAL PRADESH,2012,Parole released - Number of persons released on parole,0,0,0
ARUNACHAL PRADESH,2012,Parole released - Number of parole absconders,0,0,0
ARUNACHAL PRADESH,2012,Parole released - Number of parole absconders rearrested,0,0,0
ASSAM,2001,Parole released - Number of persons released on parole,286,4,290
ASSAM,2001,Parole released - Number of parole absconders,0,0,0
ASSAM,2001,Parole released - Number of parole absconders rearrested,0,0,0
ASSAM,2002,Parole released - Number of persons released on parole,311,0,311
ASSAM,2002,Parole released - Number of parole absconders,5,0,5
ASSAM,2002,Parole released - Number of parole absconders rearrested,1,0,1
ASSAM,2003,Parole released - Number of persons released on parole,405,2,407
ASSAM,2003,Parole released - Number of parole absconders,1,0,1
ASSAM,2003,Parole released - Number of parole absconders rearrested,0,0,0
ASSAM,2004,Parole released - Number of persons released on parole,372,0,372
ASSAM,2004,Parole released - Number of parole absconders,3,0,3
ASSAM,2004,Parole released - Number of parole absconders rearrested,1,0,1
ASSAM,2005,Parole released - Number of persons released on parole,310,3,313
ASSAM,2005,Parole released - Number of parole absconders,0,0,0
ASSAM,2005,Parole released - Number of parole absconders rearrested,0,0,0
ASSAM,2006,Parole released - Number of persons released on parole,316,4,320
ASSAM,2006,Parole released - Number of parole absconders,2,0,2
ASSAM,2006,Parole released - Number of parole absconders rearrested,1,0,1
ASSAM,2007,Parole released - Number of persons released on parole,318,6,324
ASSAM,2007,Parole released - Number of parole absconders,6,0,6
ASSAM,2007,Parole released - Number of parole absconders rearrested,0,0,0
ASSAM,2008,Parole released - Number of persons released on parole,376,6,382
ASSAM,2008,Parole released - Number of parole absconders,5,0,5
ASSAM,2008,Parole released - Number of parole absconders rearrested,2,0,2
ASSAM,2009,Parole released - Number of persons released on parole,367,6,373
ASSAM,2009,Parole released - Number of parole absconders,7,1,8
ASSAM,2009,Parole released - Number of parole absconders rearrested,0,0,0
ASSAM,2010,Parole released - Number of persons released on parole,238,6,244
ASSAM,2010,Parole released - Number of parole absconders,4,0,4
ASSAM,2010,Parole released - Number of parole absconders rearrested,5,0,5
ASSAM,2011,Parole released - Number of persons released on parole,138,0,138
ASSAM,2011,Parole released - Number of parole absconders,0,0,0
ASSAM,2011,Parole released - Number of parole absconders rearrested,3,0,3
ASSAM,2012,Parole released - Number of persons released on parole,139,4,143
ASSAM,2012,Parole released - Number of parole absconders,0,0,0
ASSAM,2012,Parole released - Number of parole absconders rearrested,1,0,1
BIHAR,2001,Parole released - Number of persons released on parole,3,0,3
BIHAR,2001,Parole released - Number of parole absconders,0,0,0
BIHAR,2001,Parole released - Number of parole absconders rearrested,0,0,0
BIHAR,2002,Parole released - Number of persons released on parole,12,0,12
BIHAR,2002,Parole released - Number of parole absconders,0,0,0
BIHAR,2002,Parole released - Number of parole absconders rearrested,0,0,0
BIHAR,2003,Parole released - Number of persons released on parole,2,0,2
BIHAR,2003,Parole released - Number of parole absconders,0,0,0
BIHAR,2003,Parole released - Number of parole absconders rearrested,0,0,0
BIHAR,2004,Parole released - Number of persons released on parole,13,0,13
BIHAR,2004,Parole released - Number of parole absconders,1,0,1
BIHAR,2004,Parole released - Number of parole absconders rearrested,0,0,0
BIHAR,2005,Parole released - Number of persons released on parole,14,0,14
BIHAR,2005,Parole released - Number of parole absconders,0,0,0
BIHAR,2005,Parole released - Number of parole absconders rearrested,0,0,0
BIHAR,2006,Parole released - Number of persons released on parole,11,0,11
BIHAR,2006,Parole released - Number of parole absconders,0,0,0
BIHAR,2006,Parole released - Number of parole absconders rearrested,0,0,0
BIHAR,2007,Parole released - Number of persons released on parole,9,0,9
BIHAR,2007,Parole released - Number of parole absconders,0,0,0
BIHAR,2007,Parole released - Number of parole absconders rearrested,0,0,0
BIHAR,2008,Parole released - Number of persons released on parole,5,0,5
BIHAR,2008,Parole released - Number of parole absconders,0,0,0
BIHAR,2008,Parole released - Number of parole absconders rearrested,0,0,0
BIHAR,2009,Parole released - Number of persons released on parole,8,0,8
BIHAR,2009,Parole released - Number of parole absconders,0,0,0
BIHAR,2009,Parole released - Number of parole absconders rearrested,0,0,0
BIHAR,2010,Parole released - Number of persons released on parole,12,0,12
BIHAR,2010,Parole released - Number of parole absconders,0,0,0
BIHAR,2010,Parole released - Number of parole absconders rearrested,0,0,0
BIHAR,2011,Parole released - Number of persons released on parole,6,0,6
BIHAR,2011,Parole released - Number of parole absconders,0,0,0
BIHAR,2011,Parole released - Number of parole absconders rearrested,0,0,0
BIHAR,2012,Parole released - Number of persons released on parole,15,0,15
BIHAR,2012,Parole released - Number of parole absconders,0,0,0
BIHAR,2012,Parole released - Number of parole absconders rearrested,0,0,0
CHHATTISGARH,2012,Parole released - Number of persons released on parole,426,4,430
CHHATTISGARH,2012,Parole released - Number of parole absconders,0,0,0
CHHATTISGARH,2012,Parole released - Number of parole absconders rearrested,0,0,0
CHHATTISGARH,2001,Parole released - Number of persons released on parole,128,2,130
CHHATTISGARH,2001,Parole released - Number of parole absconders,1,0,1
CHHATTISGARH,2001,Parole released - Number of parole absconders rearrested,0,0,0
CHHATTISGARH,2002,Parole released - Number of persons released on parole,290,2,292
CHHATTISGARH,2002,Parole released - Number of parole absconders,2,0,2
CHHATTISGARH,2002,Parole released - Number of parole absconders rearrested,0,0,0
CHHATTISGARH,2003,Parole released - Number of persons released on parole,76,4,80
CHHATTISGARH,2003,Parole released - Number of parole absconders,111,1,112
CHHATTISGARH,2003,Parole released - Number of parole absconders rearrested,0,0,0
CHHATTISGARH,2004,Parole released - Number of persons released on parole,248,5,253
CHHATTISGARH,2004,Parole released - Number of parole absconders,0,0,0
CHHATTISGARH,2004,Parole released - Number of parole absconders rearrested,0,0,0
CHHATTISGARH,2005,Parole released - Number of persons released on parole,314,5,319
CHHATTISGARH,2005,Parole released - Number of parole absconders,1,0,1
CHHATTISGARH,2005,Parole released - Number of parole absconders rearrested,1,0,1
CHHATTISGARH,2006,Parole released - Number of persons released on parole,281,4,285
CHHATTISGARH,2006,Parole released - Number of parole absconders,1,0,1
CHHATTISGARH,2006,Parole released - Number of parole absconders rearrested,0,0,0
CHHATTISGARH,2007,Parole released - Number of persons released on parole,189,5,194
CHHATTISGARH,2007,Parole released - Number of parole absconders,5,0,5
CHHATTISGARH,2007,Parole released - Number of parole absconders rearrested,0,0,0
CHHATTISGARH,2008,Parole released - Number of persons released on parole,216,1,217
CHHATTISGARH,2008,Parole released - Number of parole absconders,1,0,1
CHHATTISGARH,2008,Parole released - Number of parole absconders rearrested,1,0,1
CHHATTISGARH,2009,Parole released - Number of persons released on parole,514,12,526
CHHATTISGARH,2009,Parole released - Number of parole absconders,0,0,0
CHHATTISGARH,2009,Parole released - Number of parole absconders rearrested,0,0,0
CHHATTISGARH,2010,Parole released - Number of persons released on parole,186,3,189
CHHATTISGARH,2010,Parole released - Number of parole absconders,94,0,94
CHHATTISGARH,2010,Parole released - Number of parole absconders rearrested,3,0,3
CHHATTISGARH,2011,Parole released - Number of persons released on parole,286,4,290
CHHATTISGARH,2011,Parole released - Number of parole absconders,1,0,1
CHHATTISGARH,2011,Parole released - Number of parole absconders rearrested,0,0,0
GOA,2001,Parole released - Number of persons released on parole,24,3,27
GOA,2001,Parole released - Number of parole absconders,0,0,0
GOA,2001,Parole released - Number of parole absconders rearrested,0,0,0
GOA,2002,Parole released - Number of persons released on parole,9,2,11
GOA,2002,Parole released - Number of parole absconders,1,0,1
GOA,2002,Parole released - Number of parole absconders rearrested,0,0,0
GOA,2003,Parole released - Number of persons released on parole,21,1,22
GOA,2003,Parole released - Number of parole absconders,3,0,3
GOA,2003,Parole released - Number of parole absconders rearrested,0,0,0
GOA,2004,Parole released - Number of persons released on parole,22,0,22
GOA,2004,Parole released - Number of parole absconders,1,0,1
GOA,2004,Parole released - Number of parole absconders rearrested,0,0,0
GOA,2005,Parole released - Number of persons released on parole,13,0,13
GOA,2005,Parole released - Number of parole absconders,0,0,0
GOA,2005,Parole released - Number of parole absconders rearrested,0,0,0
GOA,2006,Parole released - Number of persons released on parole,20,1,21
GOA,2006,Parole released - Number of parole absconders,4,0,4
GOA,2006,Parole released - Number of parole absconders rearrested,0,0,0
GOA,2007,Parole released - Number of persons released on parole,24,1,25
GOA,2007,Parole released - Number of parole absconders,3,0,3
GOA,2007,Parole released - Number of parole absconders rearrested,0,0,0
GOA,2008,Parole released - Number of persons released on parole,0,0,0
GOA,2008,Parole released - Number of parole absconders,16,1,17
GOA,2008,Parole released - Number of parole absconders rearrested,0,0,0
GOA,2009,Parole released - Number of persons released on parole,11,0,11
GOA,2009,Parole released - Number of parole absconders,0,0,0
GOA,2009,Parole released - Number of parole absconders rearrested,0,0,0
GOA,2010,Parole released - Number of persons released on parole,12,0,12
GOA,2010,Parole released - Number of parole absconders,0,0,0
GOA,2010,Parole released - Number of parole absconders rearrested,0,0,0
GOA,2011,Parole released - Number of persons released on parole,36,1,37
GOA,2011,Parole released - Number of parole absconders,0,0,0
GOA,2011,Parole released - Number of parole absconders rearrested,0,0,0
GOA,2012,Parole released - Number of persons released on parole,46,0,46
GOA,2012,Parole released - Number of parole absconders,0,0,0
GOA,2012,Parole released - Number of parole absconders rearrested,0,0,0
GUJARAT,2001,Parole released - Number of persons released on parole,255,6,261
GUJARAT,2001,Parole released - Number of parole absconders,33,0,33
GUJARAT,2001,Parole released - Number of parole absconders rearrested,5,0,5
GUJARAT,2002,Parole released - Number of persons released on parole,356,6,362
GUJARAT,2002,Parole released - Number of parole absconders,11,0,11
GUJARAT,2002,Parole released - Number of parole absconders rearrested,0,0,0
GUJARAT,2003,Parole released - Number of persons released on parole,450,16,466
GUJARAT,2003,Parole released - Number of parole absconders,26,0,26
GUJARAT,2003,Parole released - Number of parole absconders rearrested,9,0,9
GUJARAT,2004,Parole released - Number of persons released on parole,507,35,542
GUJARAT,2004,Parole released - Number of parole absconders,14,0,14
GUJARAT,2004,Parole released - Number of parole absconders rearrested,15,0,15
GUJARAT,2005,Parole released - Number of persons released on parole,565,34,599
GUJARAT,2005,Parole released - Number of parole absconders,56,0,56
GUJARAT,2005,Parole released - Number of parole absconders rearrested,35,0,35
GUJARAT,2006,Parole released - Number of persons released on parole,1473,3,1476
GUJARAT,2006,Parole released - Number of parole absconders,86,0,86
GUJARAT,2006,Parole released - Number of parole absconders rearrested,16,0,16
GUJARAT,2007,Parole released - Number of persons released on parole,2121,118,2239
GUJARAT,2007,Parole released - Number of parole absconders,55,0,55
GUJARAT,2007,Parole released - Number of parole absconders rearrested,13,0,13
GUJARAT,2008,Parole released - Number of persons released on parole,536,56,592
GUJARAT,2008,Parole released - Number of parole absconders,14,1,15
GUJARAT,2008,Parole released - Number of parole absconders rearrested,16,0,16
GUJARAT,2009,Parole released - Number of persons released on parole,677,98,775
GUJARAT,2009,Parole released - Number of parole absconders,43,2,45
GUJARAT,2009,Parole released - Number of parole absconders rearrested,14,0,14
GUJARAT,2010,Parole released - Number of persons released on parole,813,110,923
GUJARAT,2010,Parole released - Number of parole absconders,19,0,19
GUJARAT,2010,Parole released - Number of parole absconders rearrested,34,3,37
GUJARAT,2011,Parole released - Number of persons released on parole,2510,105,2615
GUJARAT,2011,Parole released - Number of parole absconders,44,0,44
GUJARAT,2011,Parole released - Number of parole absconders rearrested,39,0,39
GUJARAT,2012,Parole released - Number of persons released on parole,784,34,818
GUJARAT,2012,Parole released - Number of parole absconders,26,0,26
GUJARAT,2012,Parole released - Number of parole absconders rearrested,13,0,13
HARYANA,2001,Parole released - Number of persons released on parole,2642,115,2757
HARYANA,2001,Parole released - Number of parole absconders,48,1,49
HARYANA,2001,Parole released - Number of parole absconders rearrested,6,0,6
HARYANA,2002,Parole released - Number of persons released on parole,3778,119,3897
HARYANA,2002,Parole released - Number of parole absconders,72,0,72
HARYANA,2002,Parole released - Number of parole absconders rearrested,9,0,9
HARYANA,2003,Parole released - Number of persons released on parole,4565,165,4730
HARYANA,2003,Parole released - Number of parole absconders,58,0,58
HARYANA,2003,Parole released - Number of parole absconders rearrested,11,0,11
HARYANA,2004,Parole released - Number of persons released on parole,3739,116,3855
HARYANA,2004,Parole released - Number of parole absconders,188,0,188
HARYANA,2004,Parole released - Number of parole absconders rearrested,27,0,27
HARYANA,2005,Parole released - Number of persons released on parole,4083,122,4205
HARYANA,2005,Parole released - Number of parole absconders,54,0,54
HARYANA,2005,Parole released - Number of parole absconders rearrested,24,0,24
HARYANA,2006,Parole released - Number of persons released on parole,4525,19,4544
HARYANA,2006,Parole released - Number of parole absconders,76,0,76
HARYANA,2006,Parole released - Number of parole absconders rearrested,16,0,16
HARYANA,2007,Parole released - Number of persons released on parole,3376,81,3457
HARYANA,2007,Parole released - Number of parole absconders,62,0,62
HARYANA,2007,Parole released - Number of parole absconders rearrested,28,0,28
HARYANA,2008,Parole released - Number of persons released on parole,3222,96,3318
HARYANA,2008,Parole released - Number of parole absconders,84,0,84
HARYANA,2008,Parole released - Number of parole absconders rearrested,17,0,17
HARYANA,2009,Parole released - Number of persons released on parole,3505,94,3599
HARYANA,2009,Parole released - Number of parole absconders,179,0,179
HARYANA,2009,Parole released - Number of parole absconders rearrested,42,0,42
HARYANA,2010,Parole released - Number of persons released on parole,3809,88,3897
HARYANA,2010,Parole released - Number of parole absconders,57,0,57
HARYANA,2010,Parole released - Number of parole absconders rearrested,29,0,29
HARYANA,2011,Parole released - Number of persons released on parole,4194,119,4313
HARYANA,2011,Parole released - Number of parole absconders,80,1,81
HARYANA,2011,Parole released - Number of parole absconders rearrested,41,0,41
HARYANA,2012,Parole released - Number of persons released on parole,4264,104,4368
HARYANA,2012,Parole released - Number of parole absconders,78,0,78
HARYANA,2012,Parole released - Number of parole absconders rearrested,47,0,47
HIMACHAL PRADESH,2001,Parole released - Number of persons released on parole,509,10,519
HIMACHAL PRADESH,2001,Parole released - Number of parole absconders,0,0,0
HIMACHAL PRADESH,2001,Parole released - Number of parole absconders rearrested,0,0,0
HIMACHAL PRADESH,2002,Parole released - Number of persons released on parole,456,13,469
HIMACHAL PRADESH,2002,Parole released - Number of parole absconders,4,0,4
HIMACHAL PRADESH,2002,Parole released - Number of parole absconders rearrested,0,0,0
HIMACHAL PRADESH,2003,Parole released - Number of persons released on parole,333,16,349
HIMACHAL PRADESH,2003,Parole released - Number of parole absconders,3,0,3
HIMACHAL PRADESH,2003,Parole released - Number of parole absconders rearrested,3,0,3
HIMACHAL PRADESH,2004,Parole released - Number of persons released on parole,353,6,359
HIMACHAL PRADESH,2004,Parole released - Number of parole absconders,0,0,0
HIMACHAL PRADESH,2004,Parole released - Number of parole absconders rearrested,0,0,0
HIMACHAL PRADESH,2005,Parole released - Number of persons released on parole,353,6,359
HIMACHAL PRADESH,2005,Parole released - Number of parole absconders,0,0,0
HIMACHAL PRADESH,2005,Parole released - Number of parole absconders rearrested,0,0,0
HIMACHAL PRADESH,2006,Parole released - Number of persons released on parole,505,19,524
HIMACHAL PRADESH,2006,Parole released - Number of parole absconders,31,0,31
HIMACHAL PRADESH,2006,Parole released - Number of parole absconders rearrested,15,0,15
HIMACHAL PRADESH,2007,Parole released - Number of persons released on parole,619,18,637
HIMACHAL PRADESH,2007,Parole released - Number of parole absconders,15,0,15
HIMACHAL PRADESH,2007,Parole released - Number of parole absconders rearrested,2,0,2
HIMACHAL PRADESH,2008,Parole released - Number of persons released on parole,492,23,515
HIMACHAL PRADESH,2008,Parole released - Number of parole absconders,21,1,22
HIMACHAL PRADESH,2008,Parole released - Number of parole absconders rearrested,5,0,5
HIMACHAL PRADESH,2009,Parole released - Number of persons released on parole,346,23,369
HIMACHAL PRADESH,2009,Parole released - Number of parole absconders,8,0,8
HIMACHAL PRADESH,2009,Parole released - Number of parole absconders rearrested,4,0,4
HIMACHAL PRADESH,2010,Parole released - Number of persons released on parole,482,24,506
HIMACHAL PRADESH,2010,Parole released - Number of parole absconders,11,0,11
HIMACHAL PRADESH,2010,Parole released - Number of parole absconders rearrested,3,0,3
HIMACHAL PRADESH,2011,Parole released - Number of persons released on parole,445,19,464
HIMACHAL PRADESH,2011,Parole released - Number of parole absconders,27,0,27
HIMACHAL PRADESH,2011,Parole released - Number of parole absconders rearrested,3,0,3
HIMACHAL PRADESH,2012,Parole released - Number of persons released on parole,666,23,689
HIMACHAL PRADESH,2012,Parole released - Number of parole absconders,29,1,30
HIMACHAL PRADESH,2012,Parole released - Number of parole absconders rearrested,7,0,7
JAMMU & KASHMIR,2001,Parole released - Number of persons released on parole,8,0,8
JAMMU & KASHMIR,2001,Parole released - Number of parole absconders,0,0,0
JAMMU & KASHMIR,2001,Parole released - Number of parole absconders rearrested,1,0,1
JAMMU & KASHMIR,2002,Parole released - Number of persons released on parole,17,0,17
JAMMU & KASHMIR,2002,Parole released - Number of parole absconders,0,0,0
JAMMU & KASHMIR,2002,Parole released - Number of parole absconders rearrested,0,0,0
JAMMU & KASHMIR,2003,Parole released - Number of persons released on parole,4,0,4
JAMMU & KASHMIR,2003,Parole released - Number of parole absconders,0,0,0
JAMMU & KASHMIR,2003,Parole released - Number of parole absconders rearrested,0,0,0
JAMMU & KASHMIR,2004,Parole released - Number of persons released on parole,9,0,9
JAMMU & KASHMIR,2004,Parole released - Number of parole absconders,0,0,0
JAMMU & KASHMIR,2004,Parole released - Number of parole absconders rearrested,0,0,0
JAMMU & KASHMIR,2005,Parole released - Number of persons released on parole,4,0,4
JAMMU & KASHMIR,2005,Parole released - Number of parole absconders,0,0,0
JAMMU & KASHMIR,2005,Parole released - Number of parole absconders rearrested,0,0,0
JAMMU & KASHMIR,2006,Parole released - Number of persons released on parole,12,0,12
JAMMU & KASHMIR,2006,Parole released - Number of parole absconders,0,0,0
JAMMU & KASHMIR,2006,Parole released - Number of parole absconders rearrested,0,0,0
JAMMU & KASHMIR,2007,Parole released - Number of persons released on parole,10,0,10
JAMMU & KASHMIR,2007,Parole released - Number of parole absconders,0,0,0
JAMMU & KASHMIR,2007,Parole released - Number of parole absconders rearrested,0,0,0
JAMMU & KASHMIR,2008,Parole released - Number of persons released on parole,15,0,15
JAMMU & KASHMIR,2008,Parole released - Number of parole absconders,0,0,0
JAMMU & KASHMIR,2008,Parole released - Number of parole absconders rearrested,0,0,0
JAMMU & KASHMIR,2009,Parole released - Number of persons released on parole,5,0,5
JAMMU & KASHMIR,2009,Parole released - Number of parole absconders,0,0,0
JAMMU & KASHMIR,2009,Parole released - Number of parole absconders rearrested,0,0,0
JAMMU & KASHMIR,2010,Parole released - Number of persons released on parole,9,0,9
