STATE/UT,YEAR,DETAILS,Male,Female,Total
JAMMU & KASHMIR,2010,Parole released - Number of parole absconders,0,0,0
JAMMU & KASHMIR,2010,Parole released - Number of parole absconders rearrested,0,0,0
JAMMU & KASHMIR,2011,Parole released - Number of persons released on parole,5,0,5
JAMMU & KASHMIR,2011,Parole released - Number of parole absconders,0,0,0
JAMMU & KASHMIR,2011,Parole released - Number of parole absconders rearrested,0,0,0
JAMMU & KASHMIR,2012,Parole released - Number of persons released on parole,7,1,8
JAMMU & KASHMIR,2012,Parole released - Number of parole absconders,0,0,0
JAMMU & KASHMIR,2012,Parole released - Number of parole absconders rearrested,0,0,0
JHARKHAND,2001,Parole released - Number of persons released on parole,0,0,0
JHARKHAND,2001,Parole released - Number of parole absconders,0,0,0
JHARKHAND,2001,Parole released - Number of parole absconders rearrested,0,0,0
JHARKHAND,2002,Parole released - Number of persons released on parole,0,0,0
JHARKHAND,2002,Parole released - Number of parole absconders,0,0,0
JHARKHAND,2002,Parole released - Number of parole absconders rearrested,0,0,0
JHARKHAND,2003,Parole released - Number of persons released on parole,0,0,0
JHARKHAND,2003,Parole released - Number of parole absconders,0,0,0
JHARKHAND,2003,Parole released - Number of parole absconders rearrested,0,0,0
JHARKHAND,2004,Parole released - Number of persons released on parole,0,0,0
JHARKHAND,2004,Parole released - Number of parole absconders,0,0,0
JHARKHAND,2004,Parole released - Number of parole absconders rearrested,0,0,0
JHARKHAND,2005,Parole released - Number of persons released on parole,0,0,0
JHARKHAND,2005,Parole released - Number of parole absconders,0,0,0
JHARKHAND,2005,Parole released - Number of parole absconders rearrested,0,0,0
JHARKHAND,2006,Parole released - Number of persons released on parole,0,0,0
JHARKHAND,2006,Parole released - Number of parole absconders,0,0,0
JHARKHAND,2006,Parole released - Number of parole absconders rearrested,0,0,0
JHARKHAND,2007,Parole released - Number of persons released on parole,0,0,0
JHARKHAND,2007,Parole released - Number of parole absconders,0,0,0
JHARKHAND,2007,Parole released - Number of parole absconders rearrested,0,0,0
JHARKHAND,2008,Parole released - Number of persons released on parole,0,0,0
JHARKHAND,2008,Parole released - Number of parole absconders,0,0,0
JHARKHAND,2008,Parole released - Number of parole absconders rearrested,0,0,0
JHARKHAND,2009,Parole released - Number of persons released on parole,0,0,0
JHARKHAND,2009,Parole released - Number of parole absconders,0,0,0
JHARKHAND,2009,Parole released - Number of parole absconders rearrested,0,0,0
JHARKHAND,2010,Parole released - Number of persons released on parole,0,0,0
JHARKHAND,2010,Parole released - Number of parole absconders,0,0,0
JHARKHAND,2010,Parole released - Number of parole absconders rearrested,0,0,0
JHARKHAND,2011,Parole released - Number of persons released on parole,0,0,0
JHARKHAND,2011,Parole released - Number of parole absconders,0,0,0
JHARKHAND,2011,Parole released - Number of parole absconders rearrested,0,0,0
JHARKHAND,2012,Parole released - Number of persons released on parole,0,0,0
JHARKHAND,2012,Parole released - Number of parole absconders,0,0,0
JHARKHAND,2012,Parole released - Number of parole absconders rearrested,1,0,1
KARNATAKA,2001,Parole released - Number of persons released on parole,299,4,303
KARNATAKA,2001,Parole released - Number of parole absconders,2,0,2
KARNATAKA,2001,Parole released - Number of parole absconders rearrested,1,0,1
KARNATAKA,2002,Parole released - Number of persons released on parole,345,2,347
KARNATAKA,2002,Parole released - Number of parole absconders,0,0,0
KARNATAKA,2002,Parole released - Number of parole absconders rearrested,0,0,0
KARNATAKA,2003,Parole released - Number of persons released on parole,391,5,396
KARNATAKA,2003,Parole released - Number of parole absconders,0,0,0
KARNATAKA,2003,Parole released - Number of parole absconders rearrested,0,0,0
KARNATAKA,2004,Parole released - Number of persons released on parole,316,1,317
KARNATAKA,2004,Parole released - Number of parole absconders,0,0,0
KARNATAKA,2004,Parole released - Number of parole absconders rearrested,0,0,0
KARNATAKA,2005,Parole released - Number of persons released on parole,322,3,325
KARNATAKA,2005,Parole released - Number of parole absconders,0,0,0
KARNATAKA,2005,Parole released - Number of parole absconders rearrested,0,0,0
KARNATAKA,2006,Parole released - Number of persons released on parole,441,1,442
KARNATAKA,2006,Parole released - Number of parole absconders,0,0,0
KARNATAKA,2006,Parole released - Number of parole absconders rearrested,0,0,0
KARNATAKA,2007,Parole released - Number of persons released on parole,574,5,579
KARNATAKA,2007,Parole released - Number of parole absconders,0,0,0
KARNATAKA,2007,Parole released - Number of parole absconders rearrested,0,0,0
KARNATAKA,2008,Parole released - Number of persons released on parole,579,5,584
KARNATAKA,2008,Parole released - Number of parole absconders,0,0,0
KARNATAKA,2008,Parole released - Number of parole absconders rearrested,0,0,0
KARNATAKA,2009,Parole released - Number of persons released on parole,663,7,670
KARNATAKA,2009,Parole released - Number of parole absconders,0,0,0
KARNATAKA,2009,Parole released - Number of parole absconders rearrested,0,0,0
KARNATAKA,2010,Parole released - Number of persons released on parole,831,17,848
KARNATAKA,2010,Parole released - Number of parole absconders,13,0,13
KARNATAKA,2010,Parole released - Number of parole absconders rearrested,2,0,2
KARNATAKA,2011,Parole released - Number of persons released on parole,783,14,797
KARNATAKA,2011,Parole released - Number of parole absconders,28,0,28
KARNATAKA,2011,Parole released - Number of parole absconders rearrested,2,0,2
KARNATAKA,2012,Parole released - Number of persons released on parole,891,0,891
KARNATAKA,2012,Parole released - Number of parole absconders,11,0,11
KARNATAKA,2012,Parole released - Number of parole absconders rearrested,3,0,3
KERALA,2001,Parole released - Number of persons released on parole,797,6,803
KERALA,2001,Parole released - Number of parole absconders,0,0,0
KERALA,2001,Parole released - Number of parole absconders rearrested,0,0,0
KERALA,2002,Parole released - Number of persons released on parole,765,4,769
KERALA,2002,Parole released - Number of parole absconders,0,0,0
KERALA,2002,Parole released - Number of parole absconders rearrested,0,0,0
KERALA,2003,Parole released - Number of persons released on parole,528,8,536
KERALA,2003,Parole released - Number of parole absconders,8,0,8
KERALA,2003,Parole released - Number of parole absconders rearrested,1,0,1
KERALA,2004,Parole released - Number of persons released on parole,528,8,536
KERALA,2004,Parole released - Number of parole absconders,10,0,10
KERALA,2004,Parole released - Number of parole absconders rearrested,1,0,1
KERALA,2005,Parole released - Number of persons released on parole,0,0,0
KERALA,2005,Parole released - Number of parole absconders,2,0,2
KERALA,2005,Parole released - Number of parole absconders rearrested,1,2,3
KERALA,2006,Parole released - Number of persons released on parole,718,20,738
KERALA,2006,Parole released - Number of parole absconders,4,0,4
KERALA,2006,Parole released - Number of parole absconders rearrested,4,0,4
KERALA,2007,Parole released - Number of persons released on parole,823,23,846
KERALA,2007,Parole released - Number of parole absconders,5,0,5
KERALA,2007,Parole released - Number of parole absconders rearrested,3,0,3
KERALA,2008,Parole released - Number of persons released on parole,732,25,757
KERALA,2008,Parole released - Number of parole absconders,10,0,10
KERALA,2008,Parole released - Number of parole absconders rearrested,8,0,8
KERALA,2009,Parole released - Number of persons released on parole,927,23,950
KERALA,2009,Parole released - Number of parole absconders,9,0,9
KERALA,2009,Parole released - Number of parole absconders rearrested,5,0,5
KERALA,2010,Parole released - Number of persons released on parole,869,18,887
KERALA,2010,Parole released - Number of parole absconders,7,0,7
KERALA,2010,Parole released - Number of parole absconders rearrested,6,0,6
KERALA,2011,Parole released - Number of persons released on parole,1012,30,1042
KERALA,2011,Parole released - Number of parole absconders,12,0,12
KERALA,2011,Parole released - Number of parole absconders rearrested,0,0,0
KERALA,2012,Parole released - Number of persons released on parole,1532,52,1584
KERALA,2012,Parole released - Number of parole absconders,15,0,15
KERALA,2012,Parole released - Number of parole absconders rearrested,0,0,0
MADHYA PRADESH,2001,Parole released - Number of persons released on parole,1916,25,1941
MADHYA PRADESH,2001,Parole released - Number of parole absconders,13,0,13
MADHYA PRADESH,2001,Parole released - Number of parole absconders rearrested,3,0,3
MADHYA PRADESH,2002,Parole released - Number of persons released on parole,11,1,12
MADHYA PRADESH,2002,Parole released - Number of parole absconders,4,0,4
MADHYA PRADESH,2002,Parole released - Number of parole absconders rearrested,0,0,0
MADHYA PRADESH,2003,Parole released - Number of persons released on parole,2026,9,2035
MADHYA PRADESH,2003,Parole released - Number of parole absconders,17,5,22
MADHYA PRADESH,2003,Parole released - Number of parole absconders rearrested,45,0,45
MADHYA PRADESH,2004,Parole released - Number of persons released on parole,1380,4,1384
MADHYA PRADESH,2004,Parole released - Number of parole absconders,93,1,94
MADHYA PRADESH,2004,Parole released - Number of parole absconders rearrested,43,0,43
MADHYA PRADESH,2005,Parole released - Number of persons released on parole,719,13,732
MADHYA PRADESH,2005,Parole released - Number of parole absconders,44,0,44
MADHYA PRADESH,2005,Parole released - Number of parole absconders rearrested,7,0,7
MADHYA PRADESH,2006,Parole released - Number of persons released on parole,1761,0,1761
MADHYA PRADESH,2006,Parole released - Number of parole absconders,69,0,69
MADHYA PRADESH,2006,Parole released - Number of parole absconders rearrested,16,0,16
MADHYA PRADESH,2007,Parole released - Number of persons released on parole,1204,9,1213
MADHYA PRADESH,2007,Parole released - Number of parole absconders,39,0,39
MADHYA PRADESH,2007,Parole released - Number of parole absconders rearrested,7,0,7
MADHYA PRADESH,2008,Parole released - Number of persons released on parole,1636,11,1647
MADHYA PRADESH,2008,Parole released - Number of parole absconders,15,0,15
MADHYA PRADESH,2008,Parole released - Number of parole absconders rearrested,5,0,5
MADHYA PRADESH,2009,Parole released - Number of persons released on parole,2965,31,2996
MADHYA PRADESH,2009,Parole released - Number of parole absconders,10,0,10
MADHYA PRADESH,2009,Parole released - Number of parole absconders rearrested,6,0,6
MADHYA PRADESH,2010,Parole released - Number of persons released on parole,3399,14,3413
MADHYA PRADESH,2010,Parole released - Number of parole absconders,11,0,11
MADHYA PRADESH,2010,Parole released - Number of parole absconders rearrested,4,0,4
MADHYA PRADESH,2011,Parole released - Number of persons released on parole,1987,11,1998
MADHYA PRADESH,2011,Parole released - Number of parole absconders,14,0,14
MADHYA PRADESH,2011,Parole released - Number of parole absconders rearrested,3,0,3
MADHYA PRADESH,2012,Parole released - Number of persons released on parole,7247,56,7303
MADHYA PRADESH,2012,Parole released - Number of parole absconders,4,0,4
MADHYA PRADESH,2012,Parole released - Number of parole absconders rearrested,0,0,0
MAHARASHTRA,2001,Parole released - Number of persons released on parole,379,3,382
MAHARASHTRA,2001,Parole released - Number of parole absconders,64,0,64
MAHARASHTRA,2001,Parole released - Number of parole absconders rearrested,15,0,15
MAHARASHTRA,2002,Parole released - Number of persons released on parole,429,3,432
MAHARASHTRA,2002,Parole released - Number of parole absconders,145,2,147
MAHARASHTRA,2002,Parole released - Number of parole absconders rearrested,34,0,34
MAHARASHTRA,2003,Parole released - Number of persons released on parole,529,7,536
MAHARASHTRA,2003,Parole released - Number of parole absconders,50,0,50
MAHARASHTRA,2003,Parole released - Number of parole absconders rearrested,12,0,12
MAHARASHTRA,2004,Parole released - Number of persons released on parole,544,7,551
MAHARASHTRA,2004,Parole released - Number of parole absconders,121,1,122
MAHARASHTRA,2004,Parole released - Number of parole absconders rearrested,9,3,12
MAHARASHTRA,2005,Parole released - Number of persons released on parole,654,14,668
MAHARASHTRA,2005,Parole released - Number of parole absconders,107,1,108
MAHARASHTRA,2005,Parole released - Number of parole absconders rearrested,23,0,23
MAHARASHTRA,2006,Parole released - Number of persons released on parole,958,16,974
MAHARASHTRA,2006,Parole released - Number of parole absconders,178,0,178
MAHARASHTRA,2006,Parole released - Number of parole absconders rearrested,38,0,38
MAHARASHTRA,2007,Parole released - Number of persons released on parole,992,24,1016
MAHARASHTRA,2007,Parole released - Number of parole absconders,108,0,108
MAHARASHTRA,2007,Parole released - Number of parole absconders rearrested,33,0,33
MAHARASHTRA,2008,Parole released - Number of persons released on parole,1094,39,1133
MAHARASHTRA,2008,Parole released - Number of parole absconders,181,0,181
MAHARASHTRA,2008,Parole released - Number of parole absconders rearrested,45,0,45
MAHARASHTRA,2009,Parole released - Number of persons released on parole,1212,43,1255
MAHARASHTRA,2009,Parole released - Number of parole absconders,186,2,188
MAHARASHTRA,2009,Parole released - Number of parole absconders rearrested,68,0,68
MAHARASHTRA,2010,Parole released - Number of persons released on parole,1466,60,1526
MAHARASHTRA,2010,Parole released - Number of parole absconders,513,1,514
MAHARASHTRA,2010,Parole released - Number of parole absconders rearrested,86,0,86
MAHARASHTRA,2011,Parole released - Number of persons released on parole,1657,49,1706
MAHARASHTRA,2011,Parole released - Number of parole absconders,330,3,333
MAHARASHTRA,2011,Parole released - Number of parole absconders rearrested,191,0,191
MAHARASHTRA,2012,Parole released - Number of persons released on parole,2725,154,2879
MAHARASHTRA,2012,Parole released - Number of parole absconders,197,1,198
MAHARASHTRA,2012,Parole released - Number of parole absconders rearrested,41,0,41
MANIPUR,2001,Parole released - Number of persons released on parole,0,0,0
MANIPUR,2001,Parole released - Number of parole absconders,0,0,0
MANIPUR,2001,Parole released - Number of parole absconders rearrested,0,0,0
MANIPUR,2002,Parole released - Number of persons released on parole,3,0,3
MANIPUR,2002,Parole released - Number of parole absconders,2,0,2
MANIPUR,2002,Parole released - Number of parole absconders rearrested,0,0,0
MANIPUR,2003,Parole released - Number of persons released on parole,3,0,3
MANIPUR,2003,Parole released - Number of parole absconders,0,0,0
MANIPUR,2003,Parole released - Number of parole absconders rearrested,0,0,0
MANIPUR,2004,Parole released - Number of persons released on parole,0,0,0
MANIPUR,2004,Parole released - Number of parole absconders,0,0,0
MANIPUR,2004,Parole released - Number of parole absconders rearrested,0,0,0
MANIPUR,2005,Parole released - Number of persons released on parole,1,0,1
MANIPUR,2005,Parole released - Number of parole absconders,0,0,0
MANIPUR,2005,Parole released - Number of parole absconders rearrested,0,0,0
MANIPUR,2006,Parole released - Number of persons released on parole,2,0,2
MANIPUR,2006,Parole released - Number of parole absconders,0,0,0
MANIPUR,2006,Parole released - Number of parole absconders rearrested,0,0,0
MANIPUR,2007,Parole released - Number of persons released on parole,0,0,0
MANIPUR,2007,Parole released - Number of parole absconders,0,0,0
MANIPUR,2007,Parole released - Number of parole absconders rearrested,0,0,0
MANIPUR,2008,Parole released - Number of persons released on parole,0,0,0
MANIPUR,2008,Parole released - Number of parole absconders,0,0,0
MANIPUR,2008,Parole released - Number of parole absconders rearrested,0,0,0
MANIPUR,2009,Parole released - Number of persons released on parole,0,0,0
MANIPUR,2009,Parole released - Number of parole absconders,0,0,0
MANIPUR,2009,Parole released - Number of parole absconders rearrested,0,0,0
MANIPUR,2010,Parole released - Number of persons released on parole,0,0,0
MANIPUR,2010,Parole released - Number of parole absconders,0,0,0
MANIPUR,2010,Parole released - Number of parole absconders rearrested,0,0,0
MANIPUR,2011,Parole released - Number of persons released on parole,0,1,1
MANIPUR,2011,Parole released - Number of parole absconders,0,0,0
MANIPUR,2011,Parole released - Number of parole absconders rearrested,0,0,0
MANIPUR,2012,Parole released - Number of persons released on parole,1,0,1
MANIPUR,2012,Parole released - Number of parole absconders,1,0,1
MANIPUR,2012,Parole released - Number of parole absconders rearrested,0,0,0
MEGHALAYA,2001,Parole released - Number of persons released on parole,0,0,0
MEGHALAYA,2001,Parole released - Number of parole absconders,0,0,0
MEGHALAYA,2001,Parole released - Number of parole absconders rearrested,0,0,0
MEGHALAYA,2002,Parole released - Number of persons released on parole,0,0,0
MEGHALAYA,2002,Parole released - Number of parole absconders,0,0,0
MEGHALAYA,2002,Parole released - Number of parole absconders rearrested,0,0,0
MEGHALAYA,2003,Parole released - Number of persons released on parole,0,0,0
MEGHALAYA,2003,Parole released - Number of parole absconders,0,0,0
MEGHALAYA,2003,Parole released - Number of parole absconders rearrested,0,0,0
MEGHALAYA,2004,Parole released - Number of persons released on parole,0,0,0
MEGHALAYA,2004,Parole released - Number of parole absconders,0,0,0
MEGHALAYA,2004,Parole released - Number of parole absconders rearrested,0,0,0
MEGHALAYA,2005,Parole released - Number of persons released on parole,0,0,0
MEGHALAYA,2005,Parole released - Number of parole absconders,0,0,0
MEGHALAYA,2005,Parole released - Number of parole absconders rearrested,0,0,0
MEGHALAYA,2006,Parole released - Number of persons released on parole,0,0,0
MEGHALAYA,2006,Parole released - Number of parole absconders,0,0,0
MEGHALAYA,2006,Parole released - Number of parole absconders rearrested,0,0,0
MEGHALAYA,2007,Parole released - Number of persons released on parole,0,0,0
MEGHALAYA,2007,Parole released - Number of parole absconders,0,0,0
MEGHALAYA,2007,Parole released - Number of parole absconders rearrested,0,0,0
MEGHALAYA,2008,Parole released - Number of persons released on parole,0,0,0
MEGHALAYA,2008,Parole released - Number of parole absconders,0,0,0
MEGHALAYA,2008,Parole released - Number of parole absconders rearrested,0,0,0
MEGHALAYA,2009,Parole released - Number of persons released on parole,0,0,0
MEGHALAYA,2009,Parole released - Number of parole absconders,0,0,0
MEGHALAYA,2009,Parole released - Number of parole absconders rearrested,0,0,0
MEGHALAYA,2010,Parole released - Number of persons released on parole,0,0,0
MEGHALAYA,2010,Parole released - Number of parole absconders,0,0,0
MEGHALAYA,2010,Parole released - Number of parole absconders rearrested,0,0,0
MEGHALAYA,2011,Parole released - Number of persons released on parole,0,0,0
MEGHALAYA,2011,Parole released - Number of parole absconders,0,0,0
MEGHALAYA,2011,Parole released - Number of parole absconders rearrested,0,0,0
MEGHALAYA,2012,Parole released - Number of persons released on parole,0,0,0
MEGHALAYA,2012,Parole released - Number of parole absconders,0,0,0
MEGHALAYA,2012,Parole released - Number of parole absconders rearrested,0,0,0
MIZORAM,2001,Parole released - Number of persons released on parole,1,0,1
MIZORAM,2001,Parole released - Number of parole absconders,0,0,0
MIZORAM,2001,Parole released - Number of parole absconders rearrested,0,0,0
MIZORAM,2002,Parole released - Number of persons released on parole,3,0,3
MIZORAM,2002,Parole released - Number of parole absconders,0,0,0
MIZORAM,2002,Parole released - Number of parole absconders rearrested,0,0,0
MIZORAM,2003,Parole released - Number of persons released on parole,2,0,2
MIZORAM,2003,Parole released - Number of parole absconders,0,0,0
MIZORAM,2003,Parole released - Number of parole absconders rearrested,0,0,0
MIZORAM,2004,Parole released - Number of persons released on parole,0,0,0
MIZORAM,2004,Parole released - Number of parole absconders,0,0,0
MIZORAM,2004,Parole released - Number of parole absconders rearrested,0,0,0
MIZORAM,2005,Parole released - Number of persons released on parole,0,0,0
MIZORAM,2005,Parole released - Number of parole absconders,0,0,0
MIZORAM,2005,Parole released - Number of parole absconders rearrested,0,0,0
MIZORAM,2006,Parole released - Number of persons released on parole,7,0,7
MIZORAM,2006,Parole released - Number of parole absconders,0,0,0
MIZORAM,2006,Parole released - Number of parole absconders rearrested,0,0,0
MIZORAM,2007,Parole released - Number of persons released on parole,10,0,10
MIZORAM,2007,Parole released - Number of parole absconders,0,0,0
MIZORAM,2007,Parole released - Number of parole absconders rearrested,0,0,0
MIZORAM,2008,Parole released - Number of persons released on parole,8,0,8
MIZORAM,2008,Parole released - Number of parole absconders,0,0,0
MIZORAM,2008,Parole released - Number of parole absconders rearrested,0,0,0
MIZORAM,2009,Parole released - Number of persons released on parole,0,0,0
MIZORAM,2009,Parole released - Number of parole absconders,0,0,0
MIZORAM,2009,Parole released - Number of parole absconders rearrested,0,0,0
MIZORAM,2010,Parole released - Number of persons released on parole,0,0,0
MIZORAM,2010,Parole released - Number of parole absconders,0,0,0
MIZORAM,2010,Parole released - Number of parole absconders rearrested,0,0,0
MIZORAM,2011,Parole released - Number of persons released on parole,3,0,3
MIZORAM,2011,Parole released - Number of parole absconders,0,0,0
MIZORAM,2011,Parole released - Number of parole absconders rearrested,0,0,0
MIZORAM,2012,Parole released - Number of persons released on parole,15,0,15
MIZORAM,2012,Parole released - Number of parole absconders,0,0,0
MIZORAM,2012,Parole released - Number of parole absconders rearrested,0,0,0
NAGALAND,2001,Parole released - Number of persons released on parole,0,0,0
NAGALAND,2001,Parole released - Number of parole absconders,0,0,0
NAGALAND,2001,Parole released - Number of parole absconders rearrested,0,0,0
NAGALAND,2002,Parole released - Number of persons released on parole,0,0,0
NAGALAND,2002,Parole released - Number of parole absconders,0,0,0
NAGALAND,2002,Parole released - Number of parole absconders rearrested,0,0,0
NAGALAND,2003,Parole released - Number of persons released on parole,0,0,0
NAGALAND,2003,Parole released - Number of parole absconders,0,0,0
NAGALAND,2003,Parole released - Number of parole absconders rearrested,0,0,0
NAGALAND,2004,Parole released - Number of persons released on parole,0,0,0
NAGALAND,2004,Parole released - Number of parole absconders,0,0,0
NAGALAND,2004,Parole released - Number of parole absconders rearrested,0,0,0
NAGALAND,2005,Parole released - Number of persons released on parole,0,0,0
NAGALAND,2005,Parole released - Number of parole absconders,0,0,0
NAGALAND,2005,Parole released - Number of parole absconders rearrested,0,0,0
NAGALAND,2006,Parole released - Number of persons released on parole,0,0,0
NAGALAND,2006,Parole released - Number of parole absconders,0,0,0
NAGALAND,2006,Parole released - Number of parole absconders rearrested,0,0,0
NAGALAND,2007,Parole released - Number of persons released on parole,0,0,0
NAGALAND,2007,Parole released - Number of parole absconders,0,0,0
NAGALAND,2007,Parole released - Number of parole absconders rearrested,0,0,0
NAGALAND,2008,Parole released - Number of persons released on parole,0,0,0
NAGALAND,2008,Parole released - Number of parole absconders,0,0,0
NAGALAND,2008,Parole released - Number of parole absconders rearrested,0,0,0
NAGALAND,2009,Parole released - Number of persons released on parole,0,0,0
NAGALAND,2009,Parole released - Number of parole absconders,0,0,0
NAGALAND,2009,Parole released - Number of parole absconders rearrested,0,0,0
NAGALAND,2010,Parole released - Number of persons released on parole,1,0,1
NAGALAND,2010,Parole released - Number of parole absconders,0,0,0
NAGALAND,2010,Parole released - Number of parole absconders rearrested,0,0,0
NAGALAND,2011,Parole released - Number of persons released on parole,0,0,0
NAGALAND,2011,Parole released - Number of parole absconders,0,0,0
NAGALAND,2011,Parole released - Number of parole absconders rearrested,0,0,0
NAGALAND,2012,Parole released - Number of persons released on parole,0,0,0
NAGALAND,2012,Parole released - Number of parole absconders,0,0,0
NAGALAND,2012,Parole released - Number of parole absconders rearrested,0,0,0
ORISSA,2001,Parole released - Number of persons released on parole,122,0,122
