STATE/UT,YEAR,DETAILS,Male,Female,Total
A & N ISLANDS,2003,Parole released - Number of parole absconders rearrested,0,0,0
A & N ISLANDS,2004,Parole released - Number of persons released on parole,3,0,3
A & N ISLANDS,2004,Parole released - Number of parole absconders,0,0,0
A & N ISLANDS,2004,Parole released - Number of parole absconders rearrested,0,0,0
A & N ISLANDS,2005,Parole released - Number of persons released on parole,0,0,0
A & N ISLANDS,2005,Parole released - Number of parole absconders,0,0,0
A & N ISLANDS,2005,Parole released - Number of parole absconders rearrested,0,0,0
A & N ISLANDS,2006,Parole released - Number of persons released on parole,3,0,3
A & N ISLANDS,2006,Parole released - Number of parole absconders,0,0,0
A & N ISLANDS,2006,Parole released - Number of parole absconders rearrested,0,0,0
A & N ISLANDS,2007,Parole released - Number of persons released on parole,0,0,0
A & N ISLANDS,2007,Parole released - Number of parole absconders,0,0,0
A & N ISLANDS,2007,Parole released - Number of parole absconders rearrested,0,0,0
A & N ISLANDS,2008,Parole released - Number of persons released on parole,2,0,2
A & N ISLANDS,2008,Parole released - Number of parole absconders,0,0,0
A & N ISLANDS,2008,Parole released - Number of parole absconders rearrested,0,0,0
A & N ISLANDS,2009,Parole released - Number of persons released on parole,0,0,0
A & N ISLANDS,2009,Parole released - Number of parole absconders,0,0,0
A & N ISLANDS,2009,Parole released - Number of parole absconders rearrested,0,0,0
A & N ISLANDS,2010,Parole released - Number of persons released on parole,2,0,2
A & N ISLANDS,2010,Parole released - Number of parole absconders,0,0,0
A & N ISLANDS,2010,Parole released - Number of parole absconders rearrested,0,0,0
A & N ISLANDS,2011,Parole released - Number of persons released on parole,0,0,0
A & N ISLANDS,2011,Parole released - Number of parole absconders,0,0,0
A & N ISLANDS,2011,Parole released - Number of parole absconders rearrested,0,0,0
A & N ISLANDS,2012,Parole released - Number of persons released on parole,1,0,1
A & N ISLANDS,2012,Parole released - Number of parole absconders,0,0,0
A & N ISLANDS,2012,Parole released - Number of parole absconders rearrested,0,0,0
CHANDIGARH,2001,Parole released - Number of persons released on parole,46,5,51
CHANDIGARH,2001,Parole released - Number of parole absconders,0,0,0
CHANDIGARH,2001,Parole released - Number of parole absconders rearrested,0,0,0
CHANDIGARH,2002,Parole released - Number of persons released on parole,64,4,68
CHANDIGARH,2002,Parole released - Number of parole absconders,1,0,1
CHANDIGARH,2002,Parole released - Number of parole absconders rearrested,0,0,0
CHANDIGARH,2003,Parole released - Number of persons released on parole,67,3,70
CHANDIGARH,2003,Parole released - Number of parole absconders,1,0,1
CHANDIGARH,2003,Parole released - Number of parole absconders rearrested,0,0,0
CHANDIGARH,2004,Parole released - Number of persons released on parole,47,4,51
CHANDIGARH,2004,Parole released - Number of parole absconders,2,0,2
CHANDIGARH,2004,Parole released - Number of parole absconders rearrested,1,0,1
CHANDIGARH,2005,Parole released - Number of persons released on parole,54,4,58
CHANDIGARH,2005,Parole released - Number of parole absconders,2,0,2
CHANDIGARH,2005,Parole released - Number of parole absconders rearrested,0,0,0
CHANDIGARH,2006,Parole released - Number of persons released on parole,62,3,65
CHANDIGARH,2006,Parole released - Number of parole absconders,2,0,2
CHANDIGARH,2006,Parole released - Number of parole absconders rearrested,0,0,0
CHANDIGARH,2007,Parole released - Number of persons released on parole,65,3,68
CHANDIGARH,2007,Parole released - Number of parole absconders,1,0,1
CHANDIGARH,2007,Parole released - Number of parole absconders rearrested,0,0,0
CHANDIGARH,2008,Parole released - Number of persons released on parole,124,5,129
CHANDIGARH,2008,Parole released - Number of parole absconders,2,0,2
CHANDIGARH,2008,Parole released - Number of parole absconders rearrested,0,0,0
CHANDIGARH,2009,Parole released - Number of persons released on parole,147,7,154
CHANDIGARH,2009,Parole released - Number of parole absconders,2,0,2
CHANDIGARH,2009,Parole released - Number of parole absconders rearrested,2,0,2
CHANDIGARH,2010,Parole released - Number of persons released on parole,96,4,100
CHANDIGARH,2010,Parole released - Number of parole absconders,2,0,2
CHANDIGARH,2010,Parole released - Number of parole absconders rearrested,0,0,0
CHANDIGARH,2011,Parole released - Number of persons released on parole,165,4,169
CHANDIGARH,2011,Parole released - Number of parole absconders,2,0,2
CHANDIGARH,2011,Parole released - Number of parole absconders rearrested,1,0,1
CHANDIGARH,2012,Parole released - Number of persons released on parole,207,8,215
CHANDIGARH,2012,Parole released - Number of parole absconders,2,0,2
CHANDIGARH,2012,Parole released - Number of parole absconders rearrested,0,0,0
D & N HAVELI,2001,Parole released - Number of persons released on parole,0,0,0
D & N HAVELI,2001,Parole released - Number of parole absconders,0,0,0
D & N HAVELI,2001,Parole released - Number of parole absconders rearrested,0,0,0
D & N HAVELI,2002,Parole released - Number of persons released on parole,0,0,0
D & N HAVELI,2002,Parole released - Number of parole absconders,0,0,0
D & N HAVELI,2002,Parole released - Number of parole absconders rearrested,0,0,0
D & N HAVELI,2003,Parole released - Number of persons released on parole,0,0,0
D & N HAVELI,2003,Parole released - Number of parole absconders,0,0,0
D & N HAVELI,2003,Parole released - Number of parole absconders rearrested,0,0,0
D & N HAVELI,2004,Parole released - Number of persons released on parole,0,0,0
D & N HAVELI,2004,Parole released - Number of parole absconders,0,0,0
D & N HAVELI,2004,Parole released - Number of parole absconders rearrested,0,0,0
D & N HAVELI,2005,Parole released - Number of persons released on parole,0,0,0
D & N HAVELI,2005,Parole released - Number of parole absconders,0,0,0
D & N HAVELI,2005,Parole released - Number of parole absconders rearrested,0,0,0
D & N HAVELI,2006,Parole released - Number of persons released on parole,0,0,0
D & N HAVELI,2006,Parole released - Number of parole absconders,0,0,0
D & N HAVELI,2006,Parole released - Number of parole absconders rearrested,0,0,0
D & N HAVELI,2007,Parole released - Number of persons released on parole,0,0,0
D & N HAVELI,2007,Parole released - Number of parole absconders,0,0,0
D & N HAVELI,2007,Parole released - Number of parole absconders rearrested,0,0,0
D & N HAVELI,2008,Parole released - Number of persons released on parole,0,0,0
D & N HAVELI,2008,Parole released - Number of parole absconders,0,0,0
D & N HAVELI,2008,Parole released - Number of parole absconders rearrested,0,0,0
D & N HAVELI,2009,Parole released - Number of persons released on parole,0,0,0
D & N HAVELI,2009,Parole released - Number of parole absconders,0,0,0
D & N HAVELI,2009,Parole released - Number of parole absconders rearrested,0,0,0
D & N HAVELI,2010,Parole released - Number of persons released on parole,0,0,0
D & N HAVELI,2010,Parole released - Number of parole absconders,0,0,0
D & N HAVELI,2010,Parole released - Number of parole absconders rearrested,0,0,0
D & N HAVELI,2011,Parole released - Number of persons released on parole,0,0,0
D & N HAVELI,2011,Parole released - Number of parole absconders,0,0,0
D & N HAVELI,2011,Parole released - Number of parole absconders rearrested,0,0,0
D & N HAVELI,2012,Parole released - Number of persons released on parole,0,0,0
D & N HAVELI,2012,Parole released - Number of parole absconders,0,0,0
D & N HAVELI,2012,Parole released - Number of parole absconders rearrested,0,0,0
DAMAN & DIU,2001,Parole released - Number of persons released on parole,2,0,2
DAMAN & DIU,2001,Parole released - Number of parole absconders,0,0,0
DAMAN & DIU,2001,Parole released - Number of parole absconders rearrested,0,0,0
DAMAN & DIU,2002,Parole released - Number of persons released on parole,2,0,2
DAMAN & DIU,2002,Parole released - Number of parole absconders,0,0,0
DAMAN & DIU,2002,Parole released - Number of parole absconders rearrested,0,0,0
DAMAN & DIU,2003,Parole released - Number of persons released on parole,2,0,2
DAMAN & DIU,2003,Parole released - Number of parole absconders,0,0,0
DAMAN & DIU,2003,Parole released - Number of parole absconders rearrested,0,0,0
DAMAN & DIU,2004,Parole released - Number of persons released on parole,4,0,4
DAMAN & DIU,2004,Parole released - Number of parole absconders,0,0,0
DAMAN & DIU,2004,Parole released - Number of parole absconders rearrested,0,0,0
DAMAN & DIU,2005,Parole released - Number of persons released on parole,3,0,3
DAMAN & DIU,2005,Parole released - Number of parole absconders,0,0,0
DAMAN & DIU,2005,Parole released - Number of parole absconders rearrested,0,0,0
DAMAN & DIU,2006,Parole released - Number of persons released on parole,4,0,4
DAMAN & DIU,2006,Parole released - Number of parole absconders,0,0,0
DAMAN & DIU,2006,Parole released - Number of parole absconders rearrested,0,0,0
DAMAN & DIU,2007,Parole released - Number of persons released on parole,3,0,3
DAMAN & DIU,2007,Parole released - Number of parole absconders,0,0,0
DAMAN & DIU,2007,Parole released - Number of parole absconders rearrested,0,0,0
DAMAN & DIU,2008,Parole released - Number of persons released on parole,1,1,2
DAMAN & DIU,2008,Parole released - Number of parole absconders,0,0,0
DAMAN & DIU,2008,Parole released - Number of parole absconders rearrested,0,0,0
DAMAN & DIU,2009,Parole released - Number of persons released on parole,1,0,1
DAMAN & DIU,2009,Parole released - Number of parole absconders,0,0,0
DAMAN & DIU,2009,Parole released - Number of parole absconders rearrested,0,0,0
DAMAN & DIU,2010,Parole released - Number of persons released on parole,1,0,1
DAMAN & DIU,2010,Parole released - Number of parole absconders,0,0,0
DAMAN & DIU,2010,Parole released - Number of parole absconders rearrested,0,0,0
DAMAN & DIU,2011,Parole released - Number of persons released on parole,1,0,1
DAMAN & DIU,2011,Parole released - Number of parole absconders,0,0,0
DAMAN & DIU,2011,Parole released - Number of parole absconders rearrested,0,0,0
DAMAN & DIU,2012,Parole released - Number of persons released on parole,3,1,4
DAMAN & DIU,2012,Parole released - Number of parole absconders,0,0,0
DAMAN & DIU,2012,Parole released - Number of parole absconders rearrested,0,0,0
DELHI,2001,Parole released - Number of persons released on parole,69,1,70
DELHI,2001,Parole released - Number of parole absconders,3,0,3
DELHI,2001,Parole released - Number of parole absconders rearrested,0,0,0
DELHI,2002,Parole released - Number of persons released on parole,236,4,240
DELHI,2002,Parole released - Number of parole absconders,31,0,31
DELHI,2002,Parole released - Number of parole absconders rearrested,0,0,0
DELHI,2003,Parole released - Number of persons released on parole,285,5,290
DELHI,2003,Parole released - Number of parole absconders,0,0,0
DELHI,2003,Parole released - Number of parole absconders rearrested,0,0,0
DELHI,2004,Parole released - Number of persons released on parole,221,7,228
DELHI,2004,Parole released - Number of parole absconders,0,0,0
DELHI,2004,Parole released - Number of parole absconders rearrested,0,0,0
DELHI,2005,Parole released - Number of persons released on parole,179,1,180
DELHI,2005,Parole released - Number of parole absconders,2,0,2
DELHI,2005,Parole released - Number of parole absconders rearrested,0,0,0
DELHI,2006,Parole released - Number of persons released on parole,123,10,133
DELHI,2006,Parole released - Number of parole absconders,1,3,4
DELHI,2006,Parole released - Number of parole absconders rearrested,1,0,1
DELHI,2007,Parole released - Number of persons released on parole,122,5,127
DELHI,2007,Parole released - Number of parole absconders,1,0,1
DELHI,2007,Parole released - Number of parole absconders rearrested,0,0,0
DELHI,2008,Parole released - Number of persons released on parole,149,6,155
DELHI,2008,Parole released - Number of parole absconders,0,0,0
DELHI,2008,Parole released - Number of parole absconders rearrested,0,0,0
DELHI,2009,Parole released - Number of persons released on parole,241,12,253
DELHI,2009,Parole released - Number of parole absconders,1,0,1
DELHI,2009,Parole released - Number of parole absconders rearrested,0,0,0
DELHI,2010,Parole released - Number of persons released on parole,132,15,147
DELHI,2010,Parole released - Number of parole absconders,0,1,1
DELHI,2010,Parole released - Number of parole absconders rearrested,0,0,0
DELHI,2011,Parole released - Number of persons released on parole,353,22,375
DELHI,2011,Parole released - Number of parole absconders,2,1,3
DELHI,2011,Parole released - Number of parole absconders rearrested,1,0,1
DELHI,2012,Parole released - Number of persons released on parole,266,22,288
DELHI,2012,Parole released - Number of parole absconders,2,0,2
DELHI,2012,Parole released - Number of parole absconders rearrested,1,0,1
LAKSHADWEEP,2001,Parole released - Number of persons released on parole,0,0,0
LAKSHADWEEP,2001,Parole released - Number of parole absconders,0,0,0
LAKSHADWEEP,2001,Parole released - Number of parole absconders rearrested,0,0,0
LAKSHADWEEP,2002,Parole released - Number of persons released on parole,0,0,0
LAKSHADWEEP,2002,Parole released - Number of parole absconders,0,0,0
LAKSHADWEEP,2002,Parole released - Number of parole absconders rearrested,0,0,0
LAKSHADWEEP,2003,Parole released - Number of persons released on parole,0,0,0
LAKSHADWEEP,2003,Parole released - Number of parole absconders,0,0,0
LAKSHADWEEP,2003,Parole released - Number of parole absconders rearrested,0,0,0
LAKSHADWEEP,2004,Parole released - Number of persons released on parole,0,0,0
LAKSHADWEEP,2004,Parole released - Number of parole absconders,0,0,0
LAKSHADWEEP,2004,Parole released - Number of parole absconders rearrested,0,0,0
LAKSHADWEEP,2005,Parole released - Number of persons released on parole,0,0,0
LAKSHADWEEP,2005,Parole released - Number of parole absconders,0,0,0
LAKSHADWEEP,2005,Parole released - Number of parole absconders rearrested,0,0,0
LAKSHADWEEP,2006,Parole released - Number of persons released on parole,0,0,0
LAKSHADWEEP,2006,Parole released - Number of parole absconders,0,0,0
LAKSHADWEEP,2006,Parole released - Number of parole absconders rearrested,0,0,0
LAKSHADWEEP,2007,Parole released - Number of persons released on parole,0,0,0
LAKSHADWEEP,2007,Parole released - Number of parole absconders,0,0,0
LAKSHADWEEP,2007,Parole released - Number of parole absconders rearrested,0,0,0
LAKSHADWEEP,2008,Parole released - Number of persons released on parole,0,0,0
LAKSHADWEEP,2008,Parole released - Number of parole absconders,0,0,0
LAKSHADWEEP,2008,Parole released - Number of parole absconders rearrested,0,0,0
LAKSHADWEEP,2009,Parole released - Number of persons released on parole,0,0,0
LAKSHADWEEP,2009,Parole released - Number of parole absconders,0,0,0
LAKSHADWEEP,2009,Parole released - Number of parole absconders rearrested,0,0,0
LAKSHADWEEP,2010,Parole released - Number of persons released on parole,0,0,0
LAKSHADWEEP,2010,Parole released - Number of parole absconders,0,0,0
LAKSHADWEEP,2010,Parole released - Number of parole absconders rearrested,0,0,0
LAKSHADWEEP,2011,Parole released - Number of persons released on parole,0,0,0
LAKSHADWEEP,2011,Parole released - Number of parole absconders,0,0,0
LAKSHADWEEP,2011,Parole released - Number of parole absconders rearrested,0,0,0
LAKSHADWEEP,2012,Parole released - Number of persons released on parole,0,0,0
LAKSHADWEEP,2012,Parole released - Number of parole absconders,0,0,0
LAKSHADWEEP,2012,Parole released - Number of parole absconders rearrested,0,0,0
PONDICHERRY,2001,Parole released - Number of persons released on parole,36,0,36
PONDICHERRY,2001,Parole released - Number of parole absconders,1,0,1
PONDICHERRY,2001,Parole released - Number of parole absconders rearrested,0,0,0
PONDICHERRY,2002,Parole released - Number of persons released on parole,48,0,48
PONDICHERRY,2002,Parole released - Number of parole absconders,0,0,0
PONDICHERRY,2002,Parole released - Number of parole absconders rearrested,0,0,0
PONDICHERRY,2003,Parole released - Number of persons released on parole,31,0,31
PONDICHERRY,2003,Parole released - Number of parole absconders,1,0,1
PONDICHERRY,2003,Parole released - Number of parole absconders rearrested,1,0,1
PONDICHERRY,2004,Parole released - Number of persons released on parole,12,1,13
PONDICHERRY,2004,Parole released - Number of parole absconders,0,0,0
PONDICHERRY,2004,Parole released - Number of parole absconders rearrested,0,0,0
PONDICHERRY,2005,Parole released - Number of persons released on parole,26,0,26
PONDICHERRY,2005,Parole released - Number of parole absconders,0,0,0
PONDICHERRY,2005,Parole released - Number of parole absconders rearrested,0,0,0
PONDICHERRY,2006,Parole released - Number of persons released on parole,21,0,21
PONDICHERRY,2006,Parole released - Number of parole absconders,0,0,0
PONDICHERRY,2006,Parole released - Number of parole absconders rearrested,0,0,0
PONDICHERRY,2007,Parole released - Number of persons released on parole,77,0,77
PONDICHERRY,2007,Parole released - Number of parole absconders,0,0,0
PONDICHERRY,2007,Parole released - Number of parole absconders rearrested,0,0,0
PONDICHERRY,2008,Parole released - Number of persons released on parole,73,0,73
PONDICHERRY,2008,Parole released - Number of parole absconders,0,0,0
PONDICHERRY,2008,Parole released - Number of parole absconders rearrested,0,0,0
PONDICHERRY,2009,Parole released - Number of persons released on parole,37,1,38
PONDICHERRY,2009,Parole released - Number of parole absconders,0,0,0
PONDICHERRY,2009,Parole released - Number of parole absconders rearrested,0,0,0
PONDICHERRY,2010,Parole released - Number of persons released on parole,70,0,70
PONDICHERRY,2010,Parole released - Number of parole absconders,0,0,0
PONDICHERRY,2010,Parole released - Number of parole absconders rearrested,0,0,0
PONDICHERRY,2011,Parole released - Number of persons released on parole,110,0,110
PONDICHERRY,2011,Parole released - Number of parole absconders,1,0,1
PONDICHERRY,2011,Parole released - Number of parole absconders rearrested,0,0,0
PONDICHERRY,2012,Parole released - Number of persons released on parole,208,0,208
PONDICHERRY,2012,Parole released - Number of parole absconders,1,0,1
PONDICHERRY,2012,Parole released - Number of parole absconders rearrested,1,0,1
ANDHRA PRADESH,2013,F1   Number of persons released on parole,803,10,813
ANDHRA PRADESH,2013,F2   Number of parole absconders,5,0,5
ANDHRA PRADESH,2013,F3   Number of parole absconders rearrested,3,0,3
ARUNACHAL PRADESH,2013,F1   Number of persons released on parole,2,0,2
ARUNACHAL PRADESH,2013,F2   Number of parole absconders,0,0,0
ARUNACHAL PRADESH,2013,F3   Number of parole absconders rearrested,0,0,0
ASSAM,2013,F1   Number of persons released on parole,150,7,157
ASSAM,2013,F2   Number of parole absconders,1,0,1
ASSAM,2013,F3   Number of parole absconders rearrested,0,0,0
BIHAR,2013,F1   Number of persons released on parole,5,3,8
BIHAR,2013,F2   Number of parole absconders,0,0,0
BIHAR,2013,F3   Number of parole absconders rearrested,0,0,0
CHHATISGARH,2013,F1   Number of persons released on parole,300,4,304
CHHATISGARH,2013,F2   Number of parole absconders,4,0,4
CHHATISGARH,2013,F3   Number of parole absconders rearrested,1,0,1
GOA,2013,F1   Number of persons released on parole,12,0,12
GOA,2013,F2   Number of parole absconders,0,0,0
GOA,2013,F3   Number of parole absconders rearrested,0,0,0
GUJARAT,2013,F1   Number of persons released on parole,948,67,1015
GUJARAT,2013,F2   Number of parole absconders,53,1,54
GUJARAT,2013,F3   Number of parole absconders rearrested,29,0,29
HARYANA,2013,F1   Number of persons released on parole,3600,115,3715
HARYANA,2013,F2   Number of parole absconders,39,1,40
HARYANA,2013,F3   Number of parole absconders rearrested,31,0,31
HIMACHAL PRADESH,2013,F1   Number of persons released on parole,527,11,538
HIMACHAL PRADESH,2013,F2   Number of parole absconders,23,1,24
HIMACHAL PRADESH,2013,F3   Number of parole absconders rearrested,3,0,3
JAMMU & KASHMIR,2013,F1   Number of persons released on parole,18,2,20
JAMMU & KASHMIR,2013,F2   Number of parole absconders,1,0,1
JAMMU & KASHMIR,2013,F3   Number of parole absconders rearrested,0,0,0
JHARKHAND,2013,F1   Number of persons released on parole,3,0,3
JHARKHAND,2013,F2   Number of parole absconders,0,0,0
JHARKHAND,2013,F3   Number of parole absconders rearrested,0,0,0
KARNATAKA,2013,F1   Number of persons released on parole,823,6,829
KARNATAKA,2013,F2   Number of parole absconders,9,0,9
KARNATAKA,2013,F3   Number of parole absconders rearrested,3,0,3
KERALA,2013,F1   Number of persons released on parole,689,15,704
KERALA,2013,F2   Number of parole absconders,4,0,4
KERALA,2013,F3   Number of parole absconders rearrested,2,0,2
MADHYA PRADESH,2013,F1   Number of persons released on parole,4192,70,4262
MADHYA PRADESH,2013,F2   Number of parole absconders,7,0,7
MADHYA PRADESH,2013,F3   Number of parole absconders rearrested,2,0,2
MAHARASHTRA,2013,F1   Number of persons released on parole,1479,40,1519
MAHARASHTRA,2013,F2   Number of parole absconders,305,0,305
MAHARASHTRA,2013,F3   Number of parole absconders rearrested,66,0,66
MANIPUR,2013,F1   Number of persons released on parole,0,0,0
MANIPUR,2013,F2   Number of parole absconders,0,0,0
MANIPUR,2013,F3   Number of parole absconders rearrested,0,0,0
MEGHALAYA,2013,F1   Number of persons released on parole,0,0,0
MEGHALAYA,2013,F2   Number of parole absconders,0,0,0
MEGHALAYA,2013,F3   Number of parole absconders rearrested,0,0,0
MIZORAM,2013,F1   Number of persons released on parole,12,0,12
MIZORAM,2013,F2   Number of parole absconders,2,0,2
MIZORAM,2013,F3   Number of parole absconders rearrested,2,0,2
NAGALAND,2013,F1   Number of persons released on parole,0,0,0
NAGALAND,2013,F2   Number of parole absconders,0,0,0
NAGALAND,2013,F3   Number of parole absconders rearrested,0,0,0
ORISSA,2013,F1   Number of persons released on parole,149,0,149
ORISSA,2013,F2   Number of parole absconders,0,0,0
ORISSA,2013,F3   Number of parole absconders rearrested,0,0,0
PUNJAB,2013,F1   Number of persons released on parole,8359,489,8848
PUNJAB,2013,F2   Number of parole absconders,119,0,119
PUNJAB,2013,F3   Number of parole absconders rearrested,69,0,69
RAJASTHAN,2013,F1   Number of persons released on parole,978,35,1013
RAJASTHAN,2013,F2   Number of parole absconders,11,0,11
RAJASTHAN,2013,F3   Number of parole absconders rearrested,7,0,7
SIKKIM,2013,F1   Number of persons released on parole,0,0,0
SIKKIM,2013,F2   Number of parole absconders,0,0,0
SIKKIM,2013,F3   Number of parole absconders rearrested,0,0,0
TAMILNADU,2013,F1   Number of persons released on parole,4276,20,4296
TAMILNADU,2013,F2   Number of parole absconders,14,0,14
TAMILNADU,2013,F3   Number of parole absconders rearrested,3,0,3
TRIPURA,2013,F1   Number of persons released on parole,84,4,88
TRIPURA,2013,F2   Number of parole absconders,0,0,0
TRIPURA,2013,F3   Number of parole absconders rearrested,0,0,0
UTTAR PRADESH,2013,F1   Number of persons released on parole,272,3,275
UTTAR PRADESH,2013,F2   Number of parole absconders,8,0,8
UTTAR PRADESH,2013,F3   Number of parole absconders rearrested,22,0,22
UTTARANCHAL,2013,F1   Number of persons released on parole,21,0,21
UTTARANCHAL,2013,F2   Number of parole absconders,0,0,0
UTTARANCHAL,2013,F3   Number of parole absconders rearrested,0,0,0
WEST BENGAL,2013,F1   Number of persons released on parole,3505,153,3658
WEST BENGAL,2013,F2   Number of parole absconders,2,0,2
WEST BENGAL,2013,F3   Number of parole absconders rearrested,1,0,1
A & N ISLANDS,2013,F1   Number of persons released on parole,2,0,2
A & N ISLANDS,2013,F2   Number of parole absconders,0,0,0
A & N ISLANDS,2013,F3   Number of parole absconders rearrested,0,0,0
CHANDIGARH,2013,F1   Number of persons released on parole,257,7,264
CHANDIGARH,2013,F2   Number of parole absconders,3,0,3
CHANDIGARH,2013,F3   Number of parole absconders rearrested,1,0,1
D & N HAVELI,2013,F1   Number of persons released on parole,0,0,0
D & N HAVELI,2013,F2   Number of parole absconders,0,0,0
D & N HAVELI,2013,F3   Number of parole absconders rearrested,0,0,0
DAMAN & DIU,2013,F1   Number of persons released on parole,0,0,0
DAMAN & DIU,2013,F2   Number of parole absconders,0,0,0
DAMAN & DIU,2013,F3   Number of parole absconders rearrested,0,0,0
DELHI,2013,F1   Number of persons released on parole,305,22,327
DELHI,2013,F2   Number of parole absconders,0,0,0
DELHI,2013,F3   Number of parole absconders rearrested,0,0,0
LAKSHADWEEP,2013,F1   Number of persons released on parole,0,0,0
LAKSHADWEEP,2013,F2   Number of parole absconders,0,0,0
LAKSHADWEEP,2013,F3   Number of parole absconders rearrested,0,0,0
PONDICHERRY,2013,F1   Number of persons released on parole,176,1,177
PONDICHERRY,2013,F2   Number of parole absconders,0,0,0
PONDICHERRY,2013,F3   Number of parole absconders rearrested,0,0,0
