STATE/UT,Year,TYPE OF JAIL,"Number of Central Jails",Total Capacity of male Inmates,Total Capacity of female Inmates,Total Capacity of Inmates,Male Inmate population,Female Inmate population,Total Inmate population
ANDHRA PRADESH,2001,CENTRAL JAIL,6,5522,20,5542,6116,117,6233
ANDHRA PRADESH,2001,DISTRICT JAIL,10,1751,88,1839,2673,137,2810
ANDHRA PRADESH,2001,SUB JAIL,118,2703,390,3093,3451,161,3612
ANDHRA PRADESH,2001,WOMEN JAIL,2,0,320,320,0,170,170
ANDHRA PRADESH,2001,BORSTAL SCHOOL,1,93,0,93,17,0,17
ANDHRA PRADESH,2001,OPEN JAIL,2,385,0,385,248,0,248
ANDHRA PRADESH,2001,SPECIAL JAIL,0,0,0,0,0,0,0
ANDHRA PRADESH,2001,OTHERS,0,0,0,0,0,0,0
ANDHRA PRADESH,2001,TOTAL,139,10454,818,11272,12505,585,13090
ANDHRA PRADESH,2002,CENTRAL JAIL,7,5986,128,6114,7286,161,7447
ANDHRA PRADESH,2002,DISTRICT JAIL,9,1301,76,1377,2158,111,2269
ANDHRA PRADESH,2002,SUB JAIL,118,2750,397,3147,3025,201,3226
ANDHRA PRADESH,2002,WOMEN JAIL,2,0,320,320,0,235,235
ANDHRA PRADESH,2002,BORSTAL SCHOOL,1,93,0,93,28,0,28
ANDHRA PRADESH,2002,OPEN JAIL,2,385,0,385,218,0,218
ANDHRA PRADESH,2002,SPECIAL JAIL,0,0,0,0,0,0,0
ANDHRA PRADESH,2002,OTHERS,0,0,0,0,0,0,0
ANDHRA PRADESH,2002,TOTAL,139,10515,921,11436,12715,708,13423
ANDHRA PRADESH,2003,CENTRAL JAIL,7,5966,128,6094,7603,213,7816
ANDHRA PRADESH,2003,DISTRICT JAIL,9,1357,80,1437,2196,165,2361
ANDHRA PRADESH,2003,SUB JAIL,120,2752,400,3152,3296,22,3318
ANDHRA PRADESH,2003,WOMEN JAIL,2,0,320,320,0,313,313
ANDHRA PRADESH,2003,BORSTAL SCHOOL,1,93,0,93,22,0,22
ANDHRA PRADESH,2003,OPEN JAIL,2,385,0,385,254,0,254
ANDHRA PRADESH,2003,SPECIAL JAIL,0,0,0,0,0,0,0
ANDHRA PRADESH,2003,OTHERS,0,0,0,0,0,0,0
ANDHRA PRADESH,2003,TOTAL,141,10553,928,11481,13371,713,14084
ANDHRA PRADESH,2004,CENTRAL JAIL,7,6428,204,6632,7377,209,7586
ANDHRA PRADESH,2004,DISTRICT JAIL,9,1518,119,1637,2289,180,2469
ANDHRA PRADESH,2004,SUB JAIL,120,2801,402,3203,3140,42,3182
ANDHRA PRADESH,2004,WOMEN JAIL,2,0,320,320,0,354,354
ANDHRA PRADESH,2004,BORSTAL SCHOOL,1,93,0,93,6,0,6
ANDHRA PRADESH,2004,OPEN JAIL,2,385,0,385,284,0,284
ANDHRA PRADESH,2004,SPECIAL JAIL,0,0,0,0,0,0,0
ANDHRA PRADESH,2004,OTHERS,0,0,0,0,0,0,0
ANDHRA PRADESH,2004,TOTAL,141,11225,1045,12270,13096,785,13881
ANDHRA PRADESH,2005,CENTRAL JAIL,7,6428,204,6632,8059,141,8200
ANDHRA PRADESH,2005,DISTRICT JAIL,9,1518,119,1637,2090,222,2312
ANDHRA PRADESH,2005,SUB JAIL,120,2801,402,3203,3283,51,3334
ANDHRA PRADESH,2005,WOMEN JAIL,2,0,320,320,0,470,470
ANDHRA PRADESH,2005,BORSTAL SCHOOL,1,93,0,93,7,0,7
ANDHRA PRADESH,2005,OPEN JAIL,2,385,0,385,290,0,290
ANDHRA PRADESH,2005,SPECIAL JAIL,0,0,0,0,0,0,0
ANDHRA PRADESH,2005,OTHERS,0,0,0,0,0,0,0
ANDHRA PRADESH,2005,TOTAL,141,11225,1045,12270,13729,884,14613
ANDHRA PRADESH,2006,CENTRAL JAIL,7,6428,204,6632,7996,158,8154
ANDHRA PRADESH,2006,DISTRICT JAIL,9,1518,119,1637,2571,239,2810
ANDHRA PRADESH,2006,SUB JAIL,120,2954,350,3304,3660,76,3736
ANDHRA PRADESH,2006,WOMEN JAIL,2,0,320,320,0,372,372
ANDHRA PRADESH,2006,BORSTAL SCHOOL,1,93,0,93,14,0,14
ANDHRA PRADESH,2006,OPEN JAIL,2,430,0,430,335,0,335
ANDHRA PRADESH,2006,SPECIAL JAIL,0,0,0,0,0,0,0
ANDHRA PRADESH,2006,OTHERS,0,0,0,0,0,0,0
ANDHRA PRADESH,2006,TOTAL,141,11423,993,12416,14576,845,15421
ANDHRA PRADESH,2007,CENTRAL JAIL,7,6428,204,6632,8092,147,8239
ANDHRA PRADESH,2007,DISTRICT JAIL,9,1518,119,1637,2372,202,2574
ANDHRA PRADESH,2007,SUB JAIL,113,3230,368,3598,3367,155,3522
ANDHRA PRADESH,2007,WOMEN JAIL,2,0,320,320,0,363,363
ANDHRA PRADESH,2007,BORSTAL SCHOOL,1,93,0,93,13,0,13
ANDHRA PRADESH,2007,OPEN JAIL,2,430,0,430,334,0,334
ANDHRA PRADESH,2007,SPECIAL JAIL,0,0,0,0,0,0,0
ANDHRA PRADESH,2007,OTHERS,0,0,0,0,0,0,0
ANDHRA PRADESH,2007,TOTAL,134,11699,1011,12710,14178,867,15045
ANDHRA PRADESH,2008,CENTRAL JAIL,7,7137,262,7399,7617,118,7735
ANDHRA PRADESH,2008,DISTRICT JAIL,10,1956,193,2149,2242,184,2426
ANDHRA PRADESH,2008,SUB JAIL,121,3989,543,4532,3000,240,3240
ANDHRA PRADESH,2008,WOMEN JAIL,2,0,380,380,0,332,332
ANDHRA PRADESH,2008,BORSTAL SCHOOL,1,93,0,93,7,0,7
ANDHRA PRADESH,2008,OPEN JAIL,2,430,0,430,340,0,340
ANDHRA PRADESH,2008,SPECIAL JAIL,0,0,0,0,0,0,0
ANDHRA PRADESH,2008,OTHERS,0,0,0,0,0,0,0
ANDHRA PRADESH,2008,TOTAL,143,13605,1378,14983,13206,874,14080
ANDHRA PRADESH,2009,CENTRAL JAIL,7,6957,242,7199,6470,176,6646
ANDHRA PRADESH,2009,DISTRICT JAIL,11,2380,245,2625,2156,160,2316
ANDHRA PRADESH,2009,SUB JAIL,118,4239,581,4820,3089,213,3302
ANDHRA PRADESH,2009,WOMEN JAIL,2,0,380,380,0,227,227
ANDHRA PRADESH,2009,BORSTAL SCHOOL,1,93,0,93,12,0,12
ANDHRA PRADESH,2009,OPEN JAIL,2,430,0,430,305,0,305
ANDHRA PRADESH,2009,SPECIAL JAIL,0,0,0,0,0,0,0
ANDHRA PRADESH,2009,OTHERS,0,0,0,0,0,0,0
ANDHRA PRADESH,2009,TOTAL,141,14099,1448,15547,12032,776,12808
ANDHRA PRADESH,2010,CENTRAL JAIL,7,6982,242,7224,6802,138,6940
ANDHRA PRADESH,2010,DISTRICT JAIL,11,2430,245,2675,1789,162,1951
ANDHRA PRADESH,2010,SUB JAIL,120,4416,605,5021,2769,191,2960
ANDHRA PRADESH,2010,WOMEN JAIL,2,0,308,308,0,288,288
ANDHRA PRADESH,2010,BORSTAL SCHOOL,1,93,0,93,13,0,13
ANDHRA PRADESH,2010,OPEN JAIL,2,430,0,430,338,0,338
ANDHRA PRADESH,2010,SPECIAL JAIL,0,0,0,0,0,0,0
ANDHRA PRADESH,2010,OTHERS,0,0,0,0,0,0,0
ANDHRA PRADESH,2010,TOTAL,143,14351,1400,15751,11711,779,12490
ANDHRA PRADESH,2011,CENTRAL JAIL,7,7344,242,7586,6944,146,7090
ANDHRA PRADESH,2011,DISTRICT JAIL,12,2681,278,2959,2275,177,2452
ANDHRA PRADESH,2011,SUB JAIL,96,4116,569,4685,2867,210,3077
ANDHRA PRADESH,2011,WOMEN JAIL,2,0,320,320,0,309,309
ANDHRA PRADESH,2011,BORSTAL SCHOOL,1,93,0,93,6,0,6
ANDHRA PRADESH,2011,OPEN JAIL,2,430,0,430,279,0,279
ANDHRA PRADESH,2011,SPECIAL JAIL,0,0,0,0,0,0,0
ANDHRA PRADESH,2011,OTHERS,0,0,0,0,0,0,0
ANDHRA PRADESH,2011,TOTAL,120,14664,1409,16073,12371,842,13213
ANDHRA PRADESH,2012,CENTRAL JAIL,7,6621,192,6813,6723,213,6936
ANDHRA PRADESH,2012,DISTRICT JAIL,15,3155,369,3524,2155,165,2320
ANDHRA PRADESH,2012,SUB JAIL,94,3353,467,3820,3155,234,3389
ANDHRA PRADESH,2012,WOMEN JAIL,2,0,380,380,0,312,312
ANDHRA PRADESH,2012,BORSTAL SCHOOL,1,93,0,93,5,0,5
ANDHRA PRADESH,2012,OPEN JAIL,2,430,0,430,323,0,323
ANDHRA PRADESH,2012,SPECIAL JAIL,0,0,0,0,0,0,0
ANDHRA PRADESH,2012,OTHERS,0,0,0,0,0,0,0
ANDHRA PRADESH,2012,TOTAL,121,13652,1408,15060,12361,924,13285
ARUNACHAL PRADESH,2009,CENTRAL JAIL,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2009,DISTRICT JAIL,1,44,12,56,58,4,62
ARUNACHAL PRADESH,2009,SUB JAIL,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2009,WOMEN JAIL,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2009,BORSTAL SCHOOL,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2009,OPEN JAIL,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2009,SPECIAL JAIL,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2009,OTHERS,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2009,TOTAL,1,44,12,56,58,4,62
ARUNACHAL PRADESH,2010,CENTRAL JAIL,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2010,DISTRICT JAIL,1,44,12,56,53,4,57
ARUNACHAL PRADESH,2010,SUB JAIL,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2010,WOMEN JAIL,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2010,BORSTAL SCHOOL,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2010,OPEN JAIL,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2010,SPECIAL JAIL,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2010,OTHERS,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2010,TOTAL,1,44,12,56,53,4,57
ARUNACHAL PRADESH,2011,CENTRAL JAIL,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2011,DISTRICT JAIL,1,44,12,56,50,5,55
ARUNACHAL PRADESH,2011,SUB JAIL,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2011,WOMEN JAIL,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2011,BORSTAL SCHOOL,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2011,OPEN JAIL,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2011,SPECIAL JAIL,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2011,OTHERS,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2011,TOTAL,1,44,12,56,50,5,55
ARUNACHAL PRADESH,2012,CENTRAL JAIL,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2012,DISTRICT JAIL,1,44,12,56,67,4,71
ARUNACHAL PRADESH,2012,SUB JAIL,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2012,WOMEN JAIL,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2012,BORSTAL SCHOOL,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2012,OPEN JAIL,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2012,SPECIAL JAIL,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2012,OTHERS,0,0,0,0,0,0,0
ARUNACHAL PRADESH,2012,TOTAL,1,44,12,56,67,4,71
ASSAM,2001,CENTRAL JAIL,0,0,0,0,0,0,0
ASSAM,2001,DISTRICT JAIL,23,5287,354,5641,6076,159,6235
ASSAM,2001,SUB JAIL,0,0,0,0,0,0,0
ASSAM,2001,WOMEN JAIL,0,0,0,0,0,0,0
ASSAM,2001,BORSTAL SCHOOL,0,0,0,0,0,0,0
ASSAM,2001,OPEN JAIL,1,100,0,100,36,0,36
ASSAM,2001,SPECIAL JAIL,1,360,8,368,164,15,179
ASSAM,2001,OTHERS,1,24,8,32,35,0,35
ASSAM,2001,TOTAL,26,5771,370,6141,6311,174,6485
ASSAM,2002,CENTRAL JAIL,6,3115,139,3254,3416,93,3509
ASSAM,2002,DISTRICT JAIL,18,2184,225,2409,3020,68,3088
ASSAM,2002,SUB JAIL,1,24,8,32,34,0,34
ASSAM,2002,WOMEN JAIL,0,0,0,0,0,0,0
ASSAM,2002,BORSTAL SCHOOL,0,0,0,0,0,0,0
ASSAM,2002,OPEN JAIL,1,100,0,100,43,0,43
ASSAM,2002,SPECIAL JAIL,1,360,8,368,387,6,393
ASSAM,2002,OTHERS,0,0,0,0,0,0,0
ASSAM,2002,TOTAL,27,5783,380,6163,6900,167,7067
ASSAM,2003,CENTRAL JAIL,6,3167,139,3306,3619,97,3716
ASSAM,2003,DISTRICT JAIL,18,2184,225,2409,3328,110,3438
ASSAM,2003,SUB JAIL,1,24,8,32,23,0,23
ASSAM,2003,WOMEN JAIL,0,0,0,0,0,0,0
ASSAM,2003,BORSTAL SCHOOL,0,0,0,0,0,0,0
ASSAM,2003,OPEN JAIL,1,100,0,100,43,0,43
ASSAM,2003,SPECIAL JAIL,1,360,8,368,413,4,417
ASSAM,2003,OTHERS,0,0,0,0,0,0,0
ASSAM,2003,TOTAL,27,5835,380,6215,7426,211,7637
ASSAM,2004,CENTRAL JAIL,6,3167,139,3306,3686,107,3793
ASSAM,2004,DISTRICT JAIL,18,2184,225,2409,3358,130,3488
ASSAM,2004,SUB JAIL,1,24,8,32,29,0,29
ASSAM,2004,WOMEN JAIL,0,0,0,0,0,0,0
ASSAM,2004,BORSTAL SCHOOL,0,0,0,0,0,0,0
ASSAM,2004,OPEN JAIL,1,100,0,100,34,0,34
ASSAM,2004,SPECIAL JAIL,1,360,8,368,470,14,484
ASSAM,2004,OTHERS,0,0,0,0,0,0,0
ASSAM,2004,TOTAL,27,5835,380,6215,7577,251,7828
ASSAM,2005,CENTRAL JAIL,6,3247,139,3386,4070,99,4169
ASSAM,2005,DISTRICT JAIL,18,2213,254,2467,3819,108,3927
ASSAM,2005,SUB JAIL,1,24,8,32,32,0,32
ASSAM,2005,WOMEN JAIL,0,0,0,0,0,0,0
ASSAM,2005,BORSTAL SCHOOL,0,0,0,0,0,0,0
ASSAM,2005,OPEN JAIL,1,100,0,100,28,0,28
ASSAM,2005,SPECIAL JAIL,1,360,12,372,350,7,357
ASSAM,2005,OTHERS,0,0,0,0,0,0,0
ASSAM,2005,TOTAL,27,5944,413,6357,8299,214,8513
ASSAM,2006,CENTRAL JAIL,6,3247,139,3386,3884,100,3984
ASSAM,2006,DISTRICT JAIL,18,2213,254,2467,4003,140,4143
ASSAM,2006,SUB JAIL,1,24,8,32,58,1,59
ASSAM,2006,WOMEN JAIL,0,0,0,0,0,0,0
ASSAM,2006,BORSTAL SCHOOL,0,0,0,0,0,0,0
ASSAM,2006,OPEN JAIL,1,100,0,100,43,0,43
ASSAM,2006,SPECIAL JAIL,1,360,12,372,307,2,309
ASSAM,2006,OTHERS,0,0,0,0,0,0,0
ASSAM,2006,TOTAL,27,5944,413,6357,8295,243,8538
ASSAM,2007,CENTRAL JAIL,6,3247,139,3386,3942,102,4044
ASSAM,2007,DISTRICT JAIL,18,2213,254,2467,4189,138,4327
ASSAM,2007,SUB JAIL,1,24,8,32,56,0,56
ASSAM,2007,WOMEN JAIL,0,0,0,0,0,0,0
ASSAM,2007,BORSTAL SCHOOL,0,0,0,0,0,0,0
ASSAM,2007,OPEN JAIL,1,100,0,100,38,0,38
ASSAM,2007,SPECIAL JAIL,1,360,12,372,229,11,240
ASSAM,2007,OTHERS,0,0,0,0,0,0,0
ASSAM,2007,TOTAL,27,5944,413,6357,8454,251,8705
ASSAM,2008,CENTRAL JAIL,6,3247,139,3386,3847,126,3973
ASSAM,2008,DISTRICT JAIL,18,2213,254,2467,4293,177,4470
ASSAM,2008,SUB JAIL,1,24,8,32,64,1,65
ASSAM,2008,WOMEN JAIL,0,0,0,0,0,0,0
ASSAM,2008,BORSTAL SCHOOL,0,0,0,0,0,0,0
ASSAM,2008,OPEN JAIL,1,100,0,100,43,0,43
ASSAM,2008,SPECIAL JAIL,1,360,12,372,182,9,191
ASSAM,2008,OTHERS,0,0,0,0,0,0,0
ASSAM,2008,TOTAL,27,5944,413,6357,8429,313,8742
ASSAM,2009,CENTRAL JAIL,6,3247,139,3386,3001,102,3103
ASSAM,2009,DISTRICT JAIL,21,2706,316,3022,4562,182,4744
ASSAM,2009,SUB JAIL,1,24,8,32,47,0,47
ASSAM,2009,WOMEN JAIL,0,0,0,0,0,0,0
ASSAM,2009,BORSTAL SCHOOL,0,0,0,0,0,0,0
ASSAM,2009,OPEN JAIL,1,100,0,100,35,0,35
ASSAM,2009,SPECIAL JAIL,1,360,12,372,216,15,231
ASSAM,2009,OTHERS,0,0,0,0,0,0,0
ASSAM,2009,TOTAL,30,6437,475,6912,7861,299,8160
ASSAM,2010,CENTRAL JAIL,6,3247,139,3386,2961,104,3065
ASSAM,2010,DISTRICT JAIL,21,3188,336,3524,4357,169,4526
ASSAM,2010,SUB JAIL,1,24,8,32,56,0,56
ASSAM,2010,WOMEN JAIL,0,0,0,0,0,0,0
ASSAM,2010,BORSTAL SCHOOL,0,0,0,0,0,0,0
ASSAM,2010,OPEN JAIL,1,100,0,100,28,0,28
ASSAM,2010,SPECIAL JAIL,1,360,12,372,247,0,247
ASSAM,2010,OTHERS,0,0,0,0,0,0,0
ASSAM,2010,TOTAL,30,6919,495,7414,7649,273,7922
ASSAM,2011,CENTRAL JAIL,6,3305,152,3457,3176,122,3298
ASSAM,2011,DISTRICT JAIL,21,3188,336,3524,4439,174,4613
ASSAM,2011,SUB JAIL,1,24,8,32,75,1,76
ASSAM,2011,WOMEN JAIL,0,0,0,0,0,0,0
ASSAM,2011,BORSTAL SCHOOL,0,0,0,0,0,0,0
ASSAM,2011,OPEN JAIL,1,100,0,100,23,0,23
ASSAM,2011,SPECIAL JAIL,1,360,12,372,192,1,193
ASSAM,2011,OTHERS,0,0,0,0,0,0,0
ASSAM,2011,TOTAL,30,6977,508,7485,7905,298,8203
ASSAM,2012,CENTRAL JAIL,6,3743,207,3950,3023,107,3130
ASSAM,2012,DISTRICT JAIL,21,3188,336,3524,4648,177,4825
ASSAM,2012,SUB JAIL,1,24,8,32,77,0,77
ASSAM,2012,WOMEN JAIL,0,0,0,0,0,0,0
ASSAM,2012,BORSTAL SCHOOL,0,0,0,0,0,0,0
ASSAM,2012,OPEN JAIL,1,100,0,100,31,0,31
ASSAM,2012,SPECIAL JAIL,1,360,12,372,201,7,208
ASSAM,2012,OTHERS,0,0,0,0,0,0,0
ASSAM,2012,TOTAL,30,7415,563,7978,7980,291,8271
BIHAR,2001,CENTRAL JAIL,6,10017,18,10035,9804,84,9888
BIHAR,2001,DISTRICT JAIL,23,6665,284,6949,18249,555,18804
BIHAR,2001,SUB JAIL,24,3208,184,3392,6983,158,7141
BIHAR,2001,WOMEN JAIL,1,0,83,83,0,74,74
BIHAR,2001,BORSTAL SCHOOL,0,0,0,0,0,0,0
BIHAR,2001,OPEN JAIL,0,0,0,0,0,0,0
BIHAR,2001,SPECIAL JAIL,0,0,0,0,0,0,0
BIHAR,2001,OTHERS,0,0,0,0,0,0,0
BIHAR,2001,TOTAL,54,19890,569,20459,35036,871,35907
BIHAR,2002,CENTRAL JAIL,6,10026,29,10055,10764,127,10891
BIHAR,2002,DISTRICT JAIL,23,7492,357,7849,18332,645,18977
BIHAR,2002,SUB JAIL,24,3398,190,3588,7157,174,7331
BIHAR,2002,WOMEN JAIL,1,0,83,83,0,101,101
BIHAR,2002,BORSTAL SCHOOL,0,0,0,0,0,0,0
BIHAR,2002,OPEN JAIL,0,0,0,0,0,0,0
BIHAR,2002,SPECIAL JAIL,0,0,0,0,0,0,0
BIHAR,2002,OTHERS,0,0,0,0,0,0,0
BIHAR,2002,TOTAL,54,20916,659,21575,36253,1047,37300
BIHAR,2003,CENTRAL JAIL,6,10026,29,10055,10458,111,10569
BIHAR,2003,DISTRICT JAIL,23,7492,357,7849,19027,644,19671
BIHAR,2003,SUB JAIL,24,3398,190,3588,6789,188,6977
BIHAR,2003,WOMEN JAIL,1,0,83,83,0,106,106
BIHAR,2003,BORSTAL SCHOOL,0,0,0,0,0,0,0
BIHAR,2003,OPEN JAIL,0,0,0,0,0,0,0
BIHAR,2003,SPECIAL JAIL,0,0,0,0,0,0,0
BIHAR,2003,OTHERS,0,0,0,0,0,0,0
BIHAR,2003,TOTAL,54,20916,659,21575,36274,1049,37323
BIHAR,2004,CENTRAL JAIL,6,10026,29,10055,10464,209,10673
BIHAR,2004,DISTRICT JAIL,23,7492,357,7849,15639,418,16057
BIHAR,2004,SUB JAIL,24,3398,190,3588,6097,151,6248
BIHAR,2004,WOMEN JAIL,1,0,83,83,0,95,95
BIHAR,2004,BORSTAL SCHOOL,0,0,0,0,0,0,0
BIHAR,2004,OPEN JAIL,0,0,0,0,0,0,0
BIHAR,2004,SPECIAL JAIL,0,0,0,0,0,0,0
BIHAR,2004,OTHERS,0,0,0,0,0,0,0
BIHAR,2004,TOTAL,54,20916,659,21575,32200,873,33073
BIHAR,2005,CENTRAL JAIL,6,10030,125,10155,12877,284,13161
BIHAR,2005,DISTRICT JAIL,23,7624,357,7981,22552,704,23256
BIHAR,2005,SUB JAIL,25,3598,215,3813,9067,237,9304
BIHAR,2005,WOMEN JAIL,1,0,83,83,0,97,97
BIHAR,2005,BORSTAL SCHOOL,0,0,0,0,0,0,0
BIHAR,2005,OPEN JAIL,0,0,0,0,0,0,0
BIHAR,2005,SPECIAL JAIL,0,0,0,0,0,0,0
BIHAR,2005,OTHERS,0,0,0,0,0,0,0
BIHAR,2005,TOTAL,55,21252,780,22032,44496,1322,45818
BIHAR,2006,CENTRAL JAIL,6,10334,125,10459,12543,272,12815
BIHAR,2006,DISTRICT JAIL,23,9352,350,9702,21613,757,22370
BIHAR,2006,SUB JAIL,25,4023,225,4248,8707,301,9008
BIHAR,2006,WOMEN JAIL,1,0,83,83,0,88,88
BIHAR,2006,BORSTAL SCHOOL,0,0,0,0,0,0,0
BIHAR,2006,OPEN JAIL,0,0,0,0,0,0,0
BIHAR,2006,SPECIAL JAIL,0,0,0,0,0,0,0
BIHAR,2006,OTHERS,0,0,0,0,0,0,0
BIHAR,2006,TOTAL,55,23709,783,24492,42863,1418,44281
BIHAR,2007,CENTRAL JAIL,6,11322,125,11447,10962,254,11216
BIHAR,2007,DISTRICT JAIL,32,14502,432,14934,23340,813,24153
BIHAR,2007,SUB JAIL,16,2964,170,3134,4044,117,4161
BIHAR,2007,WOMEN JAIL,1,0,83,83,0,108,108
BIHAR,2007,BORSTAL SCHOOL,0,0,0,0,0,0,0
BIHAR,2007,OPEN JAIL,0,0,0,0,0,0,0
BIHAR,2007,SPECIAL JAIL,0,0,0,0,0,0,0
BIHAR,2007,OTHERS,0,0,0,0,0,0,0
BIHAR,2007,TOTAL,55,28788,810,29598,38346,1292,39638
BIHAR,2008,CENTRAL JAIL,6,12082,257,12339,11016,257,11273
BIHAR,2008,DISTRICT JAIL,32,15701,507,16208,21844,766,22610
BIHAR,2008,SUB JAIL,16,3037,218,3255,3620,111,3731
BIHAR,2008,WOMEN JAIL,1,0,83,83,0,95,95
BIHAR,2008,BORSTAL SCHOOL,0,0,0,0,0,0,0
BIHAR,2008,OPEN JAIL,0,0,0,0,0,0,0
BIHAR,2008,SPECIAL JAIL,0,0,0,0,0,0,0
BIHAR,2008,OTHERS,0,0,0,0,0,0,0
BIHAR,2008,TOTAL,55,30820,1065,31885,36480,1229,37709
BIHAR,2009,CENTRAL JAIL,6,12092,257,12349,9916,207,10123
BIHAR,2009,DISTRICT JAIL,32,15850,491,16341,19677,629,20306
BIHAR,2009,SUB JAIL,16,3162,243,3405,3092,97,3189
BIHAR,2009,WOMEN JAIL,1,0,83,83,0,93,93
BIHAR,2009,BORSTAL SCHOOL,0,0,0,0,0,0,0
BIHAR,2009,OPEN JAIL,0,0,0,0,0,0,0
BIHAR,2009,SPECIAL JAIL,0,0,0,0,0,0,0
BIHAR,2009,OTHERS,0,0,0,0,0,0,0
BIHAR,2009,TOTAL,55,31104,1074,32178,32685,1026,33711
BIHAR,2010,CENTRAL JAIL,8,13999,301,14300,10418,237,10655
BIHAR,2010,DISTRICT JAIL,30,14934,490,15424,15605,518,16123
BIHAR,2010,SUB JAIL,16,3094,218,3312,2785,66,2851
BIHAR,2010,WOMEN JAIL,1,0,83,83,0,71,71
BIHAR,2010,BORSTAL SCHOOL,0,0,0,0,0,0,0
BIHAR,2010,OPEN JAIL,0,0,0,0,0,0,0
BIHAR,2010,SPECIAL JAIL,0,0,0,0,0,0,0
BIHAR,2010,OTHERS,0,0,0,0,0,0,0
BIHAR,2010,TOTAL,55,32027,1092,33119,28808,892,29700
BIHAR,2011,CENTRAL JAIL,7,10771,301,11072,8550,227,8777
BIHAR,2011,DISTRICT JAIL,30,15513,531,16044,15018,509,15527
BIHAR,2011,SUB JAIL,16,3066,221,3287,2619,89,2708
BIHAR,2011,WOMEN JAIL,1,0,83,83,0,56,56
BIHAR,2011,BORSTAL SCHOOL,0,0,0,0,0,0,0
BIHAR,2011,OPEN JAIL,0,0,0,0,0,0,0
BIHAR,2011,SPECIAL JAIL,1,3288,0,3288,964,0,964
BIHAR,2011,OTHERS,0,0,0,0,0,0,0
