STATE/UT,Year,TYPE OF JAIL,"Number of Central Jails",Total Capacity of male Inmates,Total Capacity of female Inmates,Total Capacity of Inmates,Male Inmate population,Female Inmate population,Total Inmate population
JHARKHAND,2007,TOTAL,27,10323,415,10738,17279,657,17936
JHARKHAND,2008,CENTRAL JAIL,3,5398,200,5598,7595,277,7872
JHARKHAND,2008,DISTRICT JAIL,19,5938,280,6218,9060,337,9397
JHARKHAND,2008,SUB JAIL,4,874,41,915,1058,38,1096
JHARKHAND,2008,WOMEN JAIL,0,0,0,0,0,0,0
JHARKHAND,2008,BORSTAL SCHOOL,1,100,0,100,38,0,38
JHARKHAND,2008,OPEN JAIL,0,0,0,0,0,0,0
JHARKHAND,2008,SPECIAL JAIL,0,0,0,0,0,0,0
JHARKHAND,2008,OTHERS,0,0,0,0,0,0,0
JHARKHAND,2008,TOTAL,27,12310,521,12831,17751,652,18403
JHARKHAND,2009,CENTRAL JAIL,3,5398,200,5598,7254,271,7525
JHARKHAND,2009,DISTRICT JAIL,19,6028,305,6333,8359,338,8697
JHARKHAND,2009,SUB JAIL,4,874,41,915,898,42,940
JHARKHAND,2009,WOMEN JAIL,0,0,0,0,0,0,0
JHARKHAND,2009,BORSTAL SCHOOL,1,100,0,100,34,0,34
JHARKHAND,2009,OPEN JAIL,0,0,0,0,0,0,0
JHARKHAND,2009,SPECIAL JAIL,0,0,0,0,0,0,0
JHARKHAND,2009,OTHERS,0,0,0,0,0,0,0
JHARKHAND,2009,TOTAL,27,12400,546,12946,16545,651,17196
JHARKHAND,2010,CENTRAL JAIL,5,7174,262,7436,8635,352,8987
JHARKHAND,2010,DISTRICT JAIL,17,4162,256,4418,7730,294,8024
JHARKHAND,2010,SUB JAIL,4,874,56,930,942,61,1003
JHARKHAND,2010,WOMEN JAIL,0,0,0,0,0,0,0
JHARKHAND,2010,BORSTAL SCHOOL,1,100,0,100,28,0,28
JHARKHAND,2010,OPEN JAIL,0,0,0,0,0,0,0
JHARKHAND,2010,SPECIAL JAIL,0,0,0,0,0,0,0
JHARKHAND,2010,OTHERS,0,0,0,0,0,0,0
JHARKHAND,2010,TOTAL,27,12310,574,12884,17335,707,18042
JHARKHAND,2011,CENTRAL JAIL,5,7174,312,7486,7908,336,8244
JHARKHAND,2011,DISTRICT JAIL,17,4193,239,4432,6972,334,7306
JHARKHAND,2011,SUB JAIL,4,874,56,930,966,48,1014
JHARKHAND,2011,WOMEN JAIL,0,0,0,0,0,0,0
JHARKHAND,2011,BORSTAL SCHOOL,1,100,0,100,22,0,22
JHARKHAND,2011,OPEN JAIL,0,0,0,0,0,0,0
JHARKHAND,2011,SPECIAL JAIL,0,0,0,0,0,0,0
JHARKHAND,2011,OTHERS,0,0,0,0,0,0,0
JHARKHAND,2011,TOTAL,27,12341,607,12948,15868,718,16586
JHARKHAND,2012,CENTRAL JAIL,5,7784,356,8140,7840,337,8177
JHARKHAND,2012,DISTRICT JAIL,17,4273,261,4534,7591,359,7950
JHARKHAND,2012,SUB JAIL,4,1069,79,1148,1111,48,1159
JHARKHAND,2012,WOMEN JAIL,0,0,0,0,0,0,0
JHARKHAND,2012,BORSTAL SCHOOL,1,100,0,100,45,0,45
JHARKHAND,2012,OPEN JAIL,0,0,0,0,0,0,0
JHARKHAND,2012,SPECIAL JAIL,0,0,0,0,0,0,0
JHARKHAND,2012,OTHERS,0,0,0,0,0,0,0
JHARKHAND,2012,TOTAL,27,13226,696,13922,16587,744,17331
KARNATAKA,2001,CENTRAL JAIL,6,4981,230,5211,5632,166,5798
KARNATAKA,2001,DISTRICT JAIL,6,769,51,820,1004,31,1035
KARNATAKA,2001,SUB JAIL,79,2361,175,2536,2580,56,2636
KARNATAKA,2001,WOMEN JAIL,0,0,0,0,0,0,0
KARNATAKA,2001,BORSTAL SCHOOL,1,183,0,183,0,0,0
KARNATAKA,2001,OPEN JAIL,1,80,0,80,44,0,44
KARNATAKA,2001,SPECIAL JAIL,2,99,12,111,149,0,149
KARNATAKA,2001,OTHERS,1,250,0,250,84,0,84
KARNATAKA,2001,TOTAL,96,8723,468,9191,9493,253,9746
KARNATAKA,2002,CENTRAL JAIL,6,4981,230,5211,5991,247,6238
KARNATAKA,2002,DISTRICT JAIL,6,769,51,820,1151,46,1197
KARNATAKA,2002,SUB JAIL,79,2361,175,2536,2687,57,2744
KARNATAKA,2002,WOMEN JAIL,0,0,0,0,0,0,0
KARNATAKA,2002,BORSTAL SCHOOL,1,183,0,183,0,0,0
KARNATAKA,2002,OPEN JAIL,1,80,0,80,27,0,27
KARNATAKA,2002,SPECIAL JAIL,2,99,12,111,145,0,145
KARNATAKA,2002,OTHERS,1,250,0,250,61,0,61
KARNATAKA,2002,TOTAL,96,8723,468,9191,10062,350,10412
KARNATAKA,2003,CENTRAL JAIL,6,4981,230,5211,6623,255,6878
KARNATAKA,2003,DISTRICT JAIL,6,769,51,820,1010,46,1056
KARNATAKA,2003,SUB JAIL,79,2361,175,2536,2652,41,2693
KARNATAKA,2003,WOMEN JAIL,0,0,0,0,0,0,0
KARNATAKA,2003,BORSTAL SCHOOL,1,183,0,183,0,0,0
KARNATAKA,2003,OPEN JAIL,1,80,0,80,24,0,24
KARNATAKA,2003,SPECIAL JAIL,2,99,12,111,197,0,197
KARNATAKA,2003,OTHERS,1,250,0,250,54,0,54
KARNATAKA,2003,TOTAL,96,8723,468,9191,10560,342,10902
KARNATAKA,2004,CENTRAL JAIL,6,4981,230,5211,7035,313,7348
KARNATAKA,2004,DISTRICT JAIL,6,769,51,820,869,59,928
KARNATAKA,2004,SUB JAIL,80,2466,150,2616,2870,64,2934
KARNATAKA,2004,WOMEN JAIL,0,0,0,0,0,0,0
KARNATAKA,2004,BORSTAL SCHOOL,1,183,0,183,0,0,0
KARNATAKA,2004,OPEN JAIL,1,80,0,80,25,0,25
KARNATAKA,2004,SPECIAL JAIL,2,99,12,111,243,0,243
KARNATAKA,2004,OTHERS,1,250,0,250,64,0,64
KARNATAKA,2004,TOTAL,97,8828,443,9271,11106,436,11542
KARNATAKA,2005,CENTRAL JAIL,6,4981,230,5211,7867,332,8199
KARNATAKA,2005,DISTRICT JAIL,6,769,51,820,1002,49,1051
KARNATAKA,2005,SUB JAIL,80,2466,150,2616,2630,67,2697
KARNATAKA,2005,WOMEN JAIL,0,0,0,0,0,0,0
KARNATAKA,2005,BORSTAL SCHOOL,1,183,0,183,0,0,0
KARNATAKA,2005,OPEN JAIL,1,80,0,80,37,0,37
KARNATAKA,2005,SPECIAL JAIL,2,99,12,111,185,0,185
KARNATAKA,2005,OTHERS,1,250,0,250,58,0,58
KARNATAKA,2005,TOTAL,97,8828,443,9271,11779,448,12227
KARNATAKA,2006,CENTRAL JAIL,6,4972,250,5222,8077,400,8477
KARNATAKA,2006,DISTRICT JAIL,6,1088,108,1196,1079,53,1132
KARNATAKA,2006,SUB JAIL,81,4184,405,4589,2801,53,2854
KARNATAKA,2006,WOMEN JAIL,0,0,0,0,0,0,0
KARNATAKA,2006,BORSTAL SCHOOL,1,200,0,200,0,0,0
KARNATAKA,2006,OPEN JAIL,1,80,0,80,33,0,33
KARNATAKA,2006,SPECIAL JAIL,2,238,12,250,180,0,180
KARNATAKA,2006,OTHERS,1,250,0,250,24,0,24
KARNATAKA,2006,TOTAL,98,11012,775,11787,12194,506,12700
KARNATAKA,2007,CENTRAL JAIL,7,5688,416,6104,8469,392,8861
KARNATAKA,2007,DISTRICT JAIL,12,2341,242,2583,1767,101,1868
KARNATAKA,2007,SUB JAIL,75,2493,184,2677,2061,35,2096
KARNATAKA,2007,WOMEN JAIL,0,0,0,0,0,0,0
KARNATAKA,2007,BORSTAL SCHOOL,1,200,0,200,0,0,0
KARNATAKA,2007,OPEN JAIL,1,80,0,80,32,0,32
KARNATAKA,2007,SPECIAL JAIL,2,238,12,250,171,0,171
KARNATAKA,2007,OTHERS,1,250,0,250,24,0,24
KARNATAKA,2007,TOTAL,99,11290,854,12144,12524,528,13052
KARNATAKA,2008,CENTRAL JAIL,7,5688,416,6104,8711,418,9129
KARNATAKA,2008,DISTRICT JAIL,13,2341,242,2583,1901,87,1988
KARNATAKA,2008,SUB JAIL,74,2519,184,2703,2114,43,2157
KARNATAKA,2008,WOMEN JAIL,1,0,69,69,0,0,0
KARNATAKA,2008,BORSTAL SCHOOL,1,200,0,200,0,0,0
KARNATAKA,2008,OPEN JAIL,1,80,0,80,26,0,26
KARNATAKA,2008,SPECIAL JAIL,2,238,12,250,230,0,230
KARNATAKA,2008,OTHERS,1,250,0,250,8,0,8
KARNATAKA,2008,TOTAL,100,11316,923,12239,12990,548,13538
KARNATAKA,2009,CENTRAL JAIL,8,5760,485,6245,8268,366,8634
KARNATAKA,2009,DISTRICT JAIL,15,2686,282,2968,2020,104,2124
KARNATAKA,2009,SUB JAIL,74,2874,233,3107,2189,54,2243
KARNATAKA,2009,WOMEN JAIL,0,0,0,0,0,0,0
KARNATAKA,2009,BORSTAL SCHOOL,1,200,0,200,0,0,0
KARNATAKA,2009,OPEN JAIL,1,80,0,80,19,0,19
KARNATAKA,2009,SPECIAL JAIL,2,238,12,250,218,0,218
KARNATAKA,2009,OTHERS,1,250,0,250,3,0,3
KARNATAKA,2009,TOTAL,102,12088,1012,13100,12717,524,13241
KARNATAKA,2010,CENTRAL JAIL,8,5760,485,6245,8056,363,8419
KARNATAKA,2010,DISTRICT JAIL,15,2686,282,2968,2100,61,2161
KARNATAKA,2010,SUB JAIL,74,2874,233,3107,2012,45,2057
KARNATAKA,2010,WOMEN JAIL,0,0,0,0,0,0,0
KARNATAKA,2010,BORSTAL SCHOOL,1,200,0,200,0,0,0
KARNATAKA,2010,OPEN JAIL,1,80,0,80,31,0,31
KARNATAKA,2010,SPECIAL JAIL,2,238,12,250,221,0,221
KARNATAKA,2010,OTHERS,1,250,0,250,0,0,0
KARNATAKA,2010,TOTAL,102,12088,1012,13100,12420,469,12889
KARNATAKA,2011,CENTRAL JAIL,8,5760,485,6245,8146,404,8550
KARNATAKA,2011,DISTRICT JAIL,15,2686,282,2968,1920,69,1989
KARNATAKA,2011,SUB JAIL,74,2874,233,3107,1862,50,1912
KARNATAKA,2011,WOMEN JAIL,0,0,0,0,0,0,0
KARNATAKA,2011,BORSTAL SCHOOL,1,200,0,200,0,0,0
KARNATAKA,2011,OPEN JAIL,1,80,0,80,57,0,57
KARNATAKA,2011,SPECIAL JAIL,2,238,12,250,158,0,158
KARNATAKA,2011,OTHERS,1,250,0,250,0,0,0
KARNATAKA,2011,TOTAL,102,12088,1012,13100,12143,523,12666
KARNATAKA,2012,CENTRAL JAIL,8,5760,485,6245,8183,405,8588
KARNATAKA,2012,DISTRICT JAIL,15,2686,282,2968,2184,94,2278
KARNATAKA,2012,SUB JAIL,74,2874,233,3107,1954,59,2013
KARNATAKA,2012,WOMEN JAIL,0,0,0,0,0,0,0
KARNATAKA,2012,BORSTAL SCHOOL,1,200,0,200,0,0,0
KARNATAKA,2012,OPEN JAIL,1,80,0,80,51,0,51
KARNATAKA,2012,SPECIAL JAIL,2,238,12,250,207,0,207
KARNATAKA,2012,OTHERS,1,250,0,250,0,0,0
KARNATAKA,2012,TOTAL,102,12088,1012,13100,12579,558,13137
KERALA,2001,CENTRAL JAIL,3,2854,198,3052,2554,56,2610
KERALA,2001,DISTRICT JAIL,3,516,20,536,712,33,745
KERALA,2001,SUB JAIL,26,1185,125,1310,1442,33,1475
KERALA,2001,WOMEN JAIL,1,0,64,64,0,47,47
KERALA,2001,BORSTAL SCHOOL,1,100,0,100,1,0,1
KERALA,2001,OPEN JAIL,2,400,0,400,125,0,125
KERALA,2001,SPECIAL JAIL,5,367,30,397,364,9,373
KERALA,2001,OTHERS,0,0,0,0,0,0,0
KERALA,2001,TOTAL,41,5422,437,5859,5198,178,5376
KERALA,2002,CENTRAL JAIL,3,2854,198,3052,2308,57,2365
KERALA,2002,DISTRICT JAIL,3,516,20,536,743,21,764
KERALA,2002,SUB JAIL,26,1185,125,1310,1457,69,1526
KERALA,2002,WOMEN JAIL,1,0,64,64,0,35,35
KERALA,2002,BORSTAL SCHOOL,1,100,0,100,1,0,1
KERALA,2002,OPEN JAIL,2,400,0,400,172,0,172
KERALA,2002,SPECIAL JAIL,5,367,30,397,320,5,325
KERALA,2002,OTHERS,0,0,0,0,0,0,0
KERALA,2002,TOTAL,41,5422,437,5859,5001,187,5188
KERALA,2003,CENTRAL JAIL,3,2854,198,3052,3280,94,3374
KERALA,2003,DISTRICT JAIL,3,516,20,536,833,21,854
KERALA,2003,SUB JAIL,26,1185,125,1310,1413,24,1437
KERALA,2003,WOMEN JAIL,1,0,64,64,0,41,41
KERALA,2003,BORSTAL SCHOOL,1,100,0,100,0,0,0
KERALA,2003,OPEN JAIL,2,400,0,400,233,0,233
KERALA,2003,SPECIAL JAIL,5,367,30,397,502,23,525
KERALA,2003,OTHERS,0,0,0,0,0,0,0
KERALA,2003,TOTAL,41,5422,437,5859,6261,203,6464
KERALA,2004,CENTRAL JAIL,3,2854,198,3052,3593,105,3698
KERALA,2004,DISTRICT JAIL,3,516,20,536,1019,20,1039
KERALA,2004,SUB JAIL,26,1185,125,1310,1500,47,1547
KERALA,2004,WOMEN JAIL,1,0,64,64,0,48,48
KERALA,2004,BORSTAL SCHOOL,1,100,0,100,0,0,0
KERALA,2004,OPEN JAIL,2,400,0,400,234,0,234
KERALA,2004,SPECIAL JAIL,5,367,30,397,610,18,628
KERALA,2004,OTHERS,0,0,0,0,0,0,0
KERALA,2004,TOTAL,41,5422,437,5859,6956,238,7194
KERALA,2005,CENTRAL JAIL,3,2278,249,2527,3602,78,3680
KERALA,2005,DISTRICT JAIL,3,407,46,453,799,22,821
KERALA,2005,SUB JAIL,26,1159,125,1284,1375,34,1409
KERALA,2005,WOMEN JAIL,1,0,60,60,0,50,50
KERALA,2005,BORSTAL SCHOOL,1,100,0,100,0,0,0
KERALA,2005,OPEN JAIL,2,528,0,528,262,0,262
KERALA,2005,SPECIAL JAIL,5,402,51,453,624,17,641
KERALA,2005,OTHERS,0,0,0,0,0,0,0
KERALA,2005,TOTAL,41,4874,531,5405,6662,201,6863
KERALA,2006,CENTRAL JAIL,3,2278,239,2517,3381,74,3455
KERALA,2006,DISTRICT JAIL,3,347,34,381,794,24,818
KERALA,2006,SUB JAIL,26,1038,154,1192,1415,26,1441
KERALA,2006,WOMEN JAIL,1,0,60,60,0,46,46
KERALA,2006,BORSTAL SCHOOL,1,100,0,100,0,0,0
KERALA,2006,OPEN JAIL,2,350,0,350,254,0,254
KERALA,2006,SPECIAL JAIL,5,377,47,424,471,19,490
KERALA,2006,OTHERS,0,0,0,0,0,0,0
KERALA,2006,TOTAL,41,4490,534,5024,6315,189,6504
KERALA,2007,CENTRAL JAIL,3,1992,191,2183,3285,62,3347
KERALA,2007,DISTRICT JAIL,3,192,17,209,763,18,781
KERALA,2007,SUB JAIL,28,438,95,533,1677,39,1716
KERALA,2007,WOMEN JAIL,1,0,24,24,0,59,59
KERALA,2007,BORSTAL SCHOOL,1,100,0,100,0,0,0
KERALA,2007,OPEN JAIL,2,528,0,528,291,0,291
KERALA,2007,SPECIAL JAIL,5,178,10,188,543,5,548
KERALA,2007,OTHERS,0,0,0,0,0,0,0
KERALA,2007,TOTAL,43,3428,337,3765,6559,183,6742
KERALA,2008,CENTRAL JAIL,3,1998,191,2189,3147,65,3212
KERALA,2008,DISTRICT JAIL,3,311,37,348,806,18,824
KERALA,2008,SUB JAIL,26,734,162,896,1736,49,1785
KERALA,2008,WOMEN JAIL,1,0,48,48,0,39,39
KERALA,2008,BORSTAL SCHOOL,1,100,0,100,0,0,0
KERALA,2008,OPEN JAIL,2,530,0,530,321,0,321
KERALA,2008,SPECIAL JAIL,5,271,27,298,540,11,551
KERALA,2008,OTHERS,0,0,0,0,0,0,0
KERALA,2008,TOTAL,41,3944,465,4409,6550,182,6732
KERALA,2009,CENTRAL JAIL,3,1998,191,2189,3331,81,3412
KERALA,2009,DISTRICT JAIL,3,311,37,348,905,17,922
KERALA,2009,SUB JAIL,29,791,189,980,1592,39,1631
KERALA,2009,WOMEN JAIL,2,0,72,72,0,52,52
KERALA,2009,BORSTAL SCHOOL,1,100,0,100,0,0,0
KERALA,2009,OPEN JAIL,2,530,0,530,312,0,312
KERALA,2009,SPECIAL JAIL,7,433,27,460,625,17,642
KERALA,2009,OTHERS,0,0,0,0,0,0,0
KERALA,2009,TOTAL,47,4163,516,4679,6765,206,6971
KERALA,2010,CENTRAL JAIL,3,1998,191,2189,2855,58,2913
KERALA,2010,DISTRICT JAIL,4,423,58,481,599,21,620
KERALA,2010,SUB JAIL,30,851,209,1060,2017,30,2047
KERALA,2010,WOMEN JAIL,2,0,72,72,0,78,78
KERALA,2010,BORSTAL SCHOOL,1,100,0,100,0,0,0
KERALA,2010,OPEN JAIL,2,530,0,530,333,0,333
KERALA,2010,SPECIAL JAIL,8,651,37,688,676,25,701
KERALA,2010,OTHERS,0,0,0,0,0,0,0
KERALA,2010,TOTAL,50,4553,567,5120,6480,212,6692
KERALA,2011,CENTRAL JAIL,3,2373,0,2373,2296,0,2296
KERALA,2011,DISTRICT JAIL,5,1141,42,1183,1107,20,1127
KERALA,2011,SUB JAIL,29,1028,56,1084,1452,28,1480
KERALA,2011,WOMEN JAIL,3,0,232,232,0,113,113
KERALA,2011,BORSTAL SCHOOL,1,78,0,78,0,0,0
KERALA,2011,OPEN JAIL,2,670,0,670,308,0,308
KERALA,2011,SPECIAL JAIL,9,724,27,751,894,11,905
KERALA,2011,OTHERS,0,0,0,0,0,0,0
KERALA,2011,TOTAL,52,6014,357,6371,6057,172,6229
KERALA,2012,CENTRAL JAIL,3,2373,0,2373,2794,0,2794
KERALA,2012,DISTRICT JAIL,5,1141,30,1171,1181,18,1199
KERALA,2012,SUB JAIL,29,1028,56,1084,1360,22,1382
KERALA,2012,WOMEN JAIL,3,0,232,232,0,127,127
KERALA,2012,BORSTAL SCHOOL,1,78,12,90,50,13,63
KERALA,2012,OPEN JAIL,3,853,0,853,463,0,463
KERALA,2012,SPECIAL JAIL,9,824,27,851,895,24,919
KERALA,2012,OTHERS,0,0,0,0,0,0,0
KERALA,2012,TOTAL,53,6297,357,6654,6743,204,6947
MADHYA PRADESH,2001,CENTRAL JAIL,8,6651,462,7113,13955,395,14350
MADHYA PRADESH,2001,DISTRICT JAIL,21,3678,338,4016,6213,248,6461
MADHYA PRADESH,2001,SUB JAIL,69,4487,523,5010,8003,74,8077
MADHYA PRADESH,2001,WOMEN JAIL,0,0,0,0,0,0,0
MADHYA PRADESH,2001,BORSTAL SCHOOL,1,408,0,408,199,0,199
MADHYA PRADESH,2001,OPEN JAIL,0,0,0,0,0,0,0
MADHYA PRADESH,2001,SPECIAL JAIL,0,0,0,0,0,0,0
MADHYA PRADESH,2001,OTHERS,0,0,0,0,0,0,0
MADHYA PRADESH,2001,TOTAL,99,15224,1323,16547,28370,717,29087
MADHYA PRADESH,2002,CENTRAL JAIL,8,6651,462,7113,13810,396,14206
MADHYA PRADESH,2002,DISTRICT JAIL,21,3678,338,4016,5137,258,5395
MADHYA PRADESH,2002,SUB JAIL,79,4910,600,5510,7949,66,8015
MADHYA PRADESH,2002,WOMEN JAIL,0,0,0,0,0,0,0
MADHYA PRADESH,2002,BORSTAL SCHOOL,1,408,0,408,151,0,151
MADHYA PRADESH,2002,OPEN JAIL,0,0,0,0,0,0,0
MADHYA PRADESH,2002,SPECIAL JAIL,0,0,0,0,0,0,0
MADHYA PRADESH,2002,OTHERS,0,0,0,0,0,0,0
MADHYA PRADESH,2002,TOTAL,109,15647,1400,17047,27047,720,27767
MADHYA PRADESH,2003,CENTRAL JAIL,8,6651,462,7113,13679,419,14098
MADHYA PRADESH,2003,DISTRICT JAIL,21,3678,338,4016,4532,507,5039
MADHYA PRADESH,2003,SUB JAIL,80,4953,607,5560,7474,74,7548
MADHYA PRADESH,2003,WOMEN JAIL,0,0,0,0,0,0,0
MADHYA PRADESH,2003,BORSTAL SCHOOL,1,408,0,408,147,0,147
MADHYA PRADESH,2003,OPEN JAIL,0,0,0,0,0,0,0
MADHYA PRADESH,2003,SPECIAL JAIL,0,0,0,0,0,0,0
MADHYA PRADESH,2003,OTHERS,0,0,0,0,0,0,0
MADHYA PRADESH,2003,TOTAL,110,15690,1407,17097,25832,1000,26832
MADHYA PRADESH,2004,CENTRAL JAIL,8,6651,462,7113,14650,404,15054
MADHYA PRADESH,2004,DISTRICT JAIL,21,3707,341,4048,5641,222,5863
MADHYA PRADESH,2004,SUB JAIL,83,5178,627,5805,7762,104,7866
MADHYA PRADESH,2004,WOMEN JAIL,0,0,0,0,0,0,0
MADHYA PRADESH,2004,BORSTAL SCHOOL,1,408,0,408,149,0,149
MADHYA PRADESH,2004,OPEN JAIL,0,0,0,0,0,0,0
MADHYA PRADESH,2004,SPECIAL JAIL,0,0,0,0,0,0,0
MADHYA PRADESH,2004,OTHERS,0,0,0,0,0,0,0
MADHYA PRADESH,2004,TOTAL,113,15944,1430,17374,28202,730,28932
MADHYA PRADESH,2005,CENTRAL JAIL,8,6898,571,7469,15641,433,16074
MADHYA PRADESH,2005,DISTRICT JAIL,21,3965,370,4335,6033,291,6324
MADHYA PRADESH,2005,SUB JAIL,86,5618,536,6154,8803,93,8896
MADHYA PRADESH,2005,WOMEN JAIL,0,0,0,0,0,0,0
MADHYA PRADESH,2005,BORSTAL SCHOOL,1,608,0,608,186,0,186
MADHYA PRADESH,2005,OPEN JAIL,0,0,0,0,0,0,0
MADHYA PRADESH,2005,SPECIAL JAIL,0,0,0,0,0,0,0
MADHYA PRADESH,2005,OTHERS,0,0,0,0,0,0,0
MADHYA PRADESH,2005,TOTAL,116,17089,1477,18566,30663,817,31480
MADHYA PRADESH,2006,CENTRAL JAIL,8,7723,567,8290,16605,453,17058
MADHYA PRADESH,2006,DISTRICT JAIL,22,4883,378,5261,6160,248,6408
MADHYA PRADESH,2006,SUB JAIL,86,6157,547,6704,8456,78,8534
MADHYA PRADESH,2006,WOMEN JAIL,0,0,0,0,0,0,0
MADHYA PRADESH,2006,BORSTAL SCHOOL,0,0,0,0,0,0,0
MADHYA PRADESH,2006,OPEN JAIL,0,0,0,0,0,0,0
MADHYA PRADESH,2006,SPECIAL JAIL,0,0,0,0,0,0,0
MADHYA PRADESH,2006,OTHERS,0,0,0,0,0,0,0
MADHYA PRADESH,2006,TOTAL,116,18763,1492,20255,31221,779,32000
MADHYA PRADESH,2007,CENTRAL JAIL,8,7723,567,8290,17082,474,17556
MADHYA PRADESH,2007,DISTRICT JAIL,22,4883,378,5261,5917,281,6198
MADHYA PRADESH,2007,SUB JAIL,90,6329,568,6897,8859,99,8958
MADHYA PRADESH,2007,WOMEN JAIL,0,0,0,0,0,0,0
MADHYA PRADESH,2007,BORSTAL SCHOOL,0,0,0,0,0,0,0
MADHYA PRADESH,2007,OPEN JAIL,0,0,0,0,0,0,0
MADHYA PRADESH,2007,SPECIAL JAIL,0,0,0,0,0,0,0
MADHYA PRADESH,2007,OTHERS,0,0,0,0,0,0,0
MADHYA PRADESH,2007,TOTAL,120,18935,1513,20448,31858,854,32712
MADHYA PRADESH,2008,CENTRAL JAIL,8,10136,567,10703,17137,532,17669
MADHYA PRADESH,2008,DISTRICT JAIL,22,5087,419,5506,7346,362,7708
MADHYA PRADESH,2008,SUB JAIL,90,6643,578,7221,9290,88,9378
MADHYA PRADESH,2008,WOMEN JAIL,0,0,0,0,0,0,0
MADHYA PRADESH,2008,BORSTAL SCHOOL,0,0,0,0,0,0,0
MADHYA PRADESH,2008,OPEN JAIL,0,0,0,0,0,0,0
MADHYA PRADESH,2008,SPECIAL JAIL,0,0,0,0,0,0,0
MADHYA PRADESH,2008,OTHERS,0,0,0,0,0,0,0
MADHYA PRADESH,2008,TOTAL,120,21866,1564,23430,33773,982,34755
MADHYA PRADESH,2009,CENTRAL JAIL,8,10146,587,10733,16274,513,16787
MADHYA PRADESH,2009,DISTRICT JAIL,22,5208,414,5622,6976,342,7318
MADHYA PRADESH,2009,SUB JAIL,92,7152,596,7748,8625,76,8701
MADHYA PRADESH,2009,WOMEN JAIL,0,0,0,0,0,0,0
MADHYA PRADESH,2009,BORSTAL SCHOOL,0,0,0,0,0,0,0
MADHYA PRADESH,2009,OPEN JAIL,0,0,0,0,0,0,0
MADHYA PRADESH,2009,SPECIAL JAIL,0,0,0,0,0,0,0
MADHYA PRADESH,2009,OTHERS,0,0,0,0,0,0,0
MADHYA PRADESH,2009,TOTAL,122,22506,1597,24103,31875,931,32806
MADHYA PRADESH,2010,CENTRAL JAIL,8,10586,587,11173,15350,493,15843
MADHYA PRADESH,2010,DISTRICT JAIL,22,5636,434,6070,6642,408,7050
