state_name,year,type,incidence,inmate_injured,jail_personnel_injured,inmate_killed,jail_personnel_killed
Andhra Pradesh,2001,Jail Breaks,0,0,0,0,0
Andhra Pradesh,2001,Clashes/Group Clashes Etc,0,0,0,0,0
Andhra Pradesh,2001,Firings In Jail,0,0,0,0,0
Andhra Pradesh,2002,Jail Breaks,0,0,0,0,0
Andhra Pradesh,2002,Clashes/Group Clashes Etc,0,0,0,0,0
Andhra Pradesh,2002,Firings In Jail,0,0,0,0,0
Andhra Pradesh,2003,Jail Breaks,0,0,0,0,0
Andhra Pradesh,2003,Clashes/Group Clashes Etc,0,0,0,0,0
Andhra Pradesh,2003,Firings In Jail,0,0,0,0,0
Andhra Pradesh,2004,Jail Breaks,0,0,0,0,0
Andhra Pradesh,2004,Clashes/Group Clashes Etc,0,0,0,0,0
Andhra Pradesh,2004,Firings In Jail,0,0,0,0,0
Andhra Pradesh,2005,Jail Breaks,0,0,0,0,0
Andhra Pradesh,2005,Clashes/Group Clashes Etc,0,0,0,0,0
Andhra Pradesh,2005,Firings In Jail,0,0,0,0,0
Andhra Pradesh,2006,Jail Breaks,0,0,0,0,0
Andhra Pradesh,2006,Clashes/Group Clashes Etc,0,0,0,0,0
Andhra Pradesh,2006,Firings In Jail,0,0,0,0,0
Andhra Pradesh,2007,Jail Breaks,0,0,0,0,0
Andhra Pradesh,2007,Clashes/Group Clashes Etc,0,0,0,0,0
Andhra Pradesh,2007,Firings In Jail,0,0,0,0,0
Andhra Pradesh,2008,Jail Breaks,0,0,0,0,0
Andhra Pradesh,2008,Clashes/Group Clashes Etc,0,0,0,0,0
Andhra Pradesh,2008,Firings In Jail,0,0,0,0,0
Andhra Pradesh,2009,Jail Breaks,0,0,0,0,0
Andhra Pradesh,2009,Clashes/Group Clashes Etc,0,0,0,0,0
Andhra Pradesh,2009,Firings In Jail,0,0,0,0,0
Andhra Pradesh,2010,Jail Breaks,0,0,0,0,0
Andhra Pradesh,2010,Clashes/Group Clashes Etc,0,0,0,0,0
Andhra Pradesh,2010,Firings In Jail,0,0,0,0,0
Andhra Pradesh,2011,Jail Breaks,0,0,0,0,0
Andhra Pradesh,2011,Clashes/Group Clashes Etc,0,0,0,0,0
Andhra Pradesh,2011,Firings In Jail,0,0,0,0,0
Andhra Pradesh,2012,Jail Breaks,0,0,0,0,0
Andhra Pradesh,2012,Clashes/Group Clashes Etc,0,0,0,0,0
Andhra Pradesh,2012,Firings In Jail,0,0,0,0,0
Arunachal Pradesh,2009,Jail Breaks,0,0,0,0,0
Arunachal Pradesh,2009,Clashes/Group Clashes Etc,0,0,0,0,0
Arunachal Pradesh,2009,Firings In Jail,0,0,0,0,0
Arunachal Pradesh,2010,Jail Breaks,0,0,0,0,0
Arunachal Pradesh,2010,Clashes/Group Clashes Etc,0,0,0,0,0
Arunachal Pradesh,2010,Firings In Jail,0,0,0,0,0
Arunachal Pradesh,2011,Jail Breaks,0,0,0,0,0
Arunachal Pradesh,2011,Clashes/Group Clashes Etc,0,0,0,0,0
Arunachal Pradesh,2011,Firings In Jail,0,0,0,0,0
Arunachal Pradesh,2012,Jail Breaks,0,0,0,0,0
Arunachal Pradesh,2012,Clashes/Group Clashes Etc,0,0,0,0,0
Arunachal Pradesh,2012,Firings In Jail,0,0,0,0,0
Assam,2001,Jail Breaks,0,0,0,0,0
Assam,2001,Clashes/Group Clashes Etc,0,0,0,0,0
Assam,2001,Firings In Jail,0,0,0,0,0
Assam,2002,Jail Breaks,0,0,0,0,0
Assam,2002,Clashes/Group Clashes Etc,0,0,0,0,0
Assam,2002,Firings In Jail,0,0,0,0,0
Assam,2003,Jail Breaks,0,0,0,0,0
Assam,2003,Clashes/Group Clashes Etc,0,0,0,0,0
Assam,2003,Firings In Jail,0,0,0,0,0
Assam,2004,Jail Breaks,0,0,0,0,0
Assam,2004,Clashes/Group Clashes Etc,0,0,0,0,0
Assam,2004,Firings In Jail,0,0,0,0,0
Assam,2005,Jail Breaks,0,0,0,0,0
Assam,2005,Clashes/Group Clashes Etc,0,0,0,0,0
Assam,2005,Firings In Jail,0,0,0,0,0
Assam,2006,Jail Breaks,0,0,0,0,0
Assam,2006,Clashes/Group Clashes Etc,0,0,0,0,0
Assam,2006,Firings In Jail,0,0,0,0,0
Assam,2007,Jail Breaks,0,0,0,0,0
Assam,2007,Clashes/Group Clashes Etc,0,0,0,0,0
Assam,2007,Firings In Jail,0,0,0,0,0
Assam,2008,Jail Breaks,0,0,0,0,0
Assam,2008,Clashes/Group Clashes Etc,0,0,0,0,0
Assam,2008,Firings In Jail,0,0,0,0,0
Assam,2009,Jail Breaks,0,0,0,0,0
Assam,2009,Clashes/Group Clashes Etc,0,0,0,0,0
Assam,2009,Firings In Jail,0,0,0,0,0
Assam,2010,Jail Breaks,0,0,0,0,0
Assam,2010,Clashes/Group Clashes Etc,0,0,0,0,0
Assam,2010,Firings In Jail,0,0,0,0,0
Assam,2011,Jail Breaks,0,0,0,0,0
Assam,2011,Clashes/Group Clashes Etc,0,0,0,0,0
Assam,2011,Firings In Jail,0,0,0,0,0
Assam,2012,Jail Breaks,0,0,0,0,0
Assam,2012,Clashes/Group Clashes Etc,0,0,0,0,0
Assam,2012,Firings In Jail,0,0,0,0,0
Bihar,2001,Jail Breaks,8,4,0,0,1
Bihar,2001,Clashes/Group Clashes Etc,113,59,9,2,0
Bihar,2001,Firings In Jail,0,0,0,0,0
Bihar,2002,Jail Breaks,10,0,0,0,0
Bihar,2002,Clashes/Group Clashes Etc,28,84,10,0,0
Bihar,2002,Firings In Jail,1,8,0,6,0
Bihar,2003,Jail Breaks,4,0,0,0,0
Bihar,2003,Clashes/Group Clashes Etc,29,39,2,1,0
Bihar,2003,Firings In Jail,1,0,0,0,0
Bihar,2004,Jail Breaks,0,0,0,0,0
Bihar,2004,Clashes/Group Clashes Etc,5,3,1,0,0
Bihar,2004,Firings In Jail,0,0,0,0,0
Bihar,2005,Jail Breaks,1,5,2,1,2
Bihar,2005,Clashes/Group Clashes Etc,14,46,5,0,0
Bihar,2005,Firings In Jail,0,0,0,0,0
Bihar,2006,Jail Breaks,0,0,0,0,0
Bihar,2006,Clashes/Group Clashes Etc,17,40,0,0,0
Bihar,2006,Firings In Jail,0,0,0,0,0
Bihar,2007,Jail Breaks,0,0,0,0,0
Bihar,2007,Clashes/Group Clashes Etc,28,61,2,0,0
Bihar,2007,Firings In Jail,0,0,0,0,0
Bihar,2008,Jail Breaks,0,0,0,0,0
Bihar,2008,Clashes/Group Clashes Etc,17,53,5,0,0
Bihar,2008,Firings In Jail,0,0,0,0,0
Bihar,2009,Jail Breaks,0,0,0,0,0
Bihar,2009,Clashes/Group Clashes Etc,15,46,6,0,0
Bihar,2009,Firings In Jail,0,0,0,0,0
Bihar,2010,Jail Breaks,0,0,0,0,0
Bihar,2010,Clashes/Group Clashes Etc,13,40,5,0,0
Bihar,2010,Firings In Jail,0,0,0,0,0
Bihar,2011,Jail Breaks,0,0,0,0,0
Bihar,2011,Clashes/Group Clashes Etc,6,16,11,0,0
Bihar,2011,Firings In Jail,0,0,0,0,0
Bihar,2012,Jail Breaks,0,0,0,0,0
Bihar,2012,Clashes/Group Clashes Etc,9,15,2,0,0
Bihar,2012,Firings In Jail,0,0,0,0,0
Chhattisgarh,2012,Jail Breaks,0,0,0,0,0
Chhattisgarh,2012,Clashes/Group Clashes Etc,0,0,0,0,0
Chhattisgarh,2012,Firings In Jail,0,0,0,0,0
Chhattisgarh,2001,Jail Breaks,0,0,0,0,0
Chhattisgarh,2001,Clashes/Group Clashes Etc,0,0,0,0,0
Chhattisgarh,2001,Firings In Jail,0,0,0,0,0
Chhattisgarh,2002,Jail Breaks,0,0,0,0,0
Chhattisgarh,2002,Clashes/Group Clashes Etc,1,16,4,0,0
Chhattisgarh,2002,Firings In Jail,0,0,0,0,0
Chhattisgarh,2003,Jail Breaks,0,0,0,0,0
Chhattisgarh,2003,Clashes/Group Clashes Etc,0,0,0,0,0
Chhattisgarh,2003,Firings In Jail,0,0,0,0,0
Chhattisgarh,2004,Jail Breaks,0,0,0,0,0
Chhattisgarh,2004,Clashes/Group Clashes Etc,0,0,0,0,0
Chhattisgarh,2004,Firings In Jail,0,0,0,0,0
Chhattisgarh,2005,Jail Breaks,0,0,0,0,0
Chhattisgarh,2005,Clashes/Group Clashes Etc,0,0,0,0,0
Chhattisgarh,2005,Firings In Jail,0,0,0,0,0
Chhattisgarh,2006,Jail Breaks,1,3,0,1,0
Chhattisgarh,2006,Clashes/Group Clashes Etc,0,0,0,0,0
Chhattisgarh,2006,Firings In Jail,0,0,0,0,0
Chhattisgarh,2007,Jail Breaks,1,1,2,0,0
Chhattisgarh,2007,Clashes/Group Clashes Etc,3,2,0,0,0
Chhattisgarh,2007,Firings In Jail,1,1,0,0,0
Chhattisgarh,2008,Jail Breaks,0,0,0,0,0
Chhattisgarh,2008,Clashes/Group Clashes Etc,0,0,0,0,0
Chhattisgarh,2008,Firings In Jail,0,0,0,0,0
Chhattisgarh,2009,Jail Breaks,0,0,0,0,0
Chhattisgarh,2009,Clashes/Group Clashes Etc,0,0,0,0,0
Chhattisgarh,2009,Firings In Jail,0,0,0,0,0
Chhattisgarh,2010,Jail Breaks,0,0,0,0,0
Chhattisgarh,2010,Clashes/Group Clashes Etc,0,0,0,0,0
Chhattisgarh,2010,Firings In Jail,0,0,0,0,0
Chhattisgarh,2011,Jail Breaks,0,0,0,0,0
Chhattisgarh,2011,Clashes/Group Clashes Etc,0,0,0,0,0
Chhattisgarh,2011,Firings In Jail,0,0,0,0,0
Goa,2001,Jail Breaks,0,0,0,0,0
Goa,2001,Clashes/Group Clashes Etc,2,2,0,0,0
Goa,2001,Firings In Jail,0,0,0,0,0
Goa,2002,Jail Breaks,0,0,0,0,0
Goa,2002,Clashes/Group Clashes Etc,0,0,0,0,0
Goa,2002,Firings In Jail,0,0,0,0,0
Goa,2003,Jail Breaks,0,0,0,0,0
Goa,2003,Clashes/Group Clashes Etc,0,0,0,0,0
Goa,2003,Firings In Jail,0,0,0,0,0
Goa,2004,Jail Breaks,0,0,0,0,0
Goa,2004,Clashes/Group Clashes Etc,0,0,0,0,0
Goa,2004,Firings In Jail,0,0,0,0,0
Goa,2005,Jail Breaks,2,0,0,0,0
Goa,2005,Clashes/Group Clashes Etc,0,0,0,0,0
Goa,2005,Firings In Jail,0,0,0,0,0
Goa,2006,Jail Breaks,3,0,0,0,0
Goa,2006,Clashes/Group Clashes Etc,0,0,0,0,0
Goa,2006,Firings In Jail,0,0,0,0,0
Goa,2007,Jail Breaks,0,0,0,0,0
Goa,2007,Clashes/Group Clashes Etc,0,0,0,0,0
Goa,2007,Firings In Jail,0,0,0,0,0
Goa,2008,Jail Breaks,0,0,0,0,0
Goa,2008,Clashes/Group Clashes Etc,0,0,0,0,0
Goa,2008,Firings In Jail,0,0,0,0,0
Goa,2009,Jail Breaks,0,0,0,0,0
Goa,2009,Clashes/Group Clashes Etc,0,0,0,0,0
Goa,2009,Firings In Jail,0,0,0,0,0
Goa,2010,Jail Breaks,1,0,0,0,0
Goa,2010,Clashes/Group Clashes Etc,0,0,0,0,0
Goa,2010,Firings In Jail,0,0,0,0,0
Goa,2011,Jail Breaks,0,0,0,0,0
Goa,2011,Clashes/Group Clashes Etc,0,0,0,0,0
Goa,2011,Firings In Jail,0,0,0,0,0
Goa,2012,Jail Breaks,0,0,0,0,0
Goa,2012,Clashes/Group Clashes Etc,0,0,0,0,0
Goa,2012,Firings In Jail,0,0,0,0,0
Gujarat,2001,Jail Breaks,0,0,0,0,0
Gujarat,2001,Clashes/Group Clashes Etc,0,0,0,0,0
Gujarat,2001,Firings In Jail,0,0,0,0,0
Gujarat,2002,Jail Breaks,0,0,0,0,0
Gujarat,2002,Clashes/Group Clashes Etc,0,0,0,0,0
Gujarat,2002,Firings In Jail,0,0,0,0,0
Gujarat,2003,Jail Breaks,0,0,0,0,0
Gujarat,2003,Clashes/Group Clashes Etc,0,0,0,0,0
Gujarat,2003,Firings In Jail,0,0,0,0,0
Gujarat,2004,Jail Breaks,0,0,0,0,0
Gujarat,2004,Clashes/Group Clashes Etc,0,0,0,0,0
Gujarat,2004,Firings In Jail,0,0,0,0,0
Gujarat,2005,Jail Breaks,1,0,0,0,0
Gujarat,2005,Clashes/Group Clashes Etc,1,0,0,1,0
Gujarat,2005,Firings In Jail,0,0,0,0,0
Gujarat,2006,Jail Breaks,0,0,0,0,0
Gujarat,2006,Clashes/Group Clashes Etc,0,0,0,0,0
Gujarat,2006,Firings In Jail,0,0,0,0,0
Gujarat,2007,Jail Breaks,0,0,0,0,0
Gujarat,2007,Clashes/Group Clashes Etc,0,0,0,0,0
Gujarat,2007,Firings In Jail,0,0,0,0,0
Gujarat,2008,Jail Breaks,0,0,0,0,0
Gujarat,2008,Clashes/Group Clashes Etc,1,36,0,0,0
Gujarat,2008,Firings In Jail,0,0,0,0,0
Gujarat,2009,Jail Breaks,0,0,0,0,0
Gujarat,2009,Clashes/Group Clashes Etc,0,0,0,0,0
Gujarat,2009,Firings In Jail,0,0,0,0,0
Gujarat,2010,Jail Breaks,0,0,0,0,0
Gujarat,2010,Clashes/Group Clashes Etc,2,3,0,0,0
Gujarat,2010,Firings In Jail,0,0,0,0,0
Gujarat,2011,Jail Breaks,0,0,0,0,0
Gujarat,2011,Clashes/Group Clashes Etc,1,0,0,0,0
Gujarat,2011,Firings In Jail,0,0,0,0,0
Gujarat,2012,Jail Breaks,0,0,0,0,0
Gujarat,2012,Clashes/Group Clashes Etc,0,0,0,0,0
Gujarat,2012,Firings In Jail,0,0,0,0,0
Haryana,2001,Jail Breaks,0,3,0,0,0
Haryana,2001,Clashes/Group Clashes Etc,22,8,0,0,0
Haryana,2001,Firings In Jail,0,0,0,0,0
Haryana,2002,Jail Breaks,0,0,0,0,0
Haryana,2002,Clashes/Group Clashes Etc,4,6,0,0,0
Haryana,2002,Firings In Jail,0,0,0,0,0
Haryana,2003,Jail Breaks,0,2,0,0,0
Haryana,2003,Clashes/Group Clashes Etc,0,0,0,0,0
Haryana,2003,Firings In Jail,2,2,0,0,0
Haryana,2004,Jail Breaks,0,0,0,0,0
Haryana,2004,Clashes/Group Clashes Etc,0,0,0,0,0
Haryana,2004,Firings In Jail,0,0,0,0,0
Haryana,2005,Jail Breaks,0,0,0,0,0
Haryana,2005,Clashes/Group Clashes Etc,0,0,0,0,0
Haryana,2005,Firings In Jail,0,0,0,0,0
Haryana,2006,Jail Breaks,0,0,0,0,0
Haryana,2006,Clashes/Group Clashes Etc,0,0,0,0,0
Haryana,2006,Firings In Jail,0,0,0,0,0
Haryana,2007,Jail Breaks,0,0,0,0,0
Haryana,2007,Clashes/Group Clashes Etc,0,0,0,0,0
Haryana,2007,Firings In Jail,0,0,0,0,0
Haryana,2008,Jail Breaks,0,0,0,0,0
Haryana,2008,Clashes/Group Clashes Etc,0,0,0,0,0
Haryana,2008,Firings In Jail,0,0,0,0,0
Haryana,2009,Jail Breaks,0,0,0,0,0
Haryana,2009,Clashes/Group Clashes Etc,2,6,0,0,0
Haryana,2009,Firings In Jail,0,0,0,0,0
Haryana,2010,Jail Breaks,0,0,0,0,0
Haryana,2010,Clashes/Group Clashes Etc,0,0,0,0,0
Haryana,2010,Firings In Jail,0,0,0,0,0
Haryana,2011,Jail Breaks,0,0,0,0,0
Haryana,2011,Clashes/Group Clashes Etc,2,2,0,0,0
Haryana,2011,Firings In Jail,0,0,0,0,0
Haryana,2012,Jail Breaks,1,0,0,0,0
Haryana,2012,Clashes/Group Clashes Etc,13,15,0,0,0
Haryana,2012,Firings In Jail,0,0,0,0,0
Himachal Pradesh,2001,Jail Breaks,0,0,0,0,0
Himachal Pradesh,2001,Clashes/Group Clashes Etc,0,0,0,0,0
Himachal Pradesh,2001,Firings In Jail,0,0,0,0,0
Himachal Pradesh,2002,Jail Breaks,3,3,0,0,0
Himachal Pradesh,2002,Clashes/Group Clashes Etc,4,8,0,0,0
Himachal Pradesh,2002,Firings In Jail,0,0,0,0,0
Himachal Pradesh,2003,Jail Breaks,0,0,0,0,0
Himachal Pradesh,2003,Clashes/Group Clashes Etc,12,3,7,0,0
Himachal Pradesh,2003,Firings In Jail,0,0,0,0,0
Himachal Pradesh,2004,Jail Breaks,1,0,0,0,0
Himachal Pradesh,2004,Clashes/Group Clashes Etc,0,0,0,0,0
Himachal Pradesh,2004,Firings In Jail,0,0,0,0,0
Himachal Pradesh,2005,Jail Breaks,1,0,0,0,0
Himachal Pradesh,2005,Clashes/Group Clashes Etc,0,0,0,0,0
Himachal Pradesh,2005,Firings In Jail,0,0,0,0,0
Himachal Pradesh,2006,Jail Breaks,0,0,0,0,0
Himachal Pradesh,2006,Clashes/Group Clashes Etc,0,0,0,0,0
Himachal Pradesh,2006,Firings In Jail,0,0,0,0,0
Himachal Pradesh,2007,Jail Breaks,0,0,0,0,0
Himachal Pradesh,2007,Clashes/Group Clashes Etc,0,0,0,0,0
Himachal Pradesh,2007,Firings In Jail,0,0,0,0,0
Himachal Pradesh,2008,Jail Breaks,0,0,0,0,0
Himachal Pradesh,2008,Clashes/Group Clashes Etc,0,0,0,0,0
Himachal Pradesh,2008,Firings In Jail,0,0,0,0,0
Himachal Pradesh,2009,Jail Breaks,0,0,0,0,0
Himachal Pradesh,2009,Clashes/Group Clashes Etc,0,0,0,0,0
Himachal Pradesh,2009,Firings In Jail,0,0,0,0,0
Himachal Pradesh,2010,Jail Breaks,0,0,0,0,0
Himachal Pradesh,2010,Clashes/Group Clashes Etc,0,0,0,0,0
Himachal Pradesh,2010,Firings In Jail,0,0,0,0,0
Himachal Pradesh,2011,Jail Breaks,0,0,0,0,0
Himachal Pradesh,2011,Clashes/Group Clashes Etc,0,0,0,0,0
Himachal Pradesh,2011,Firings In Jail,0,0,0,0,0
Himachal Pradesh,2012,Jail Breaks,0,0,0,0,0
Himachal Pradesh,2012,Clashes/Group Clashes Etc,0,0,0,0,0
Himachal Pradesh,2012,Firings In Jail,0,0,0,0,0
Jammu & Kashmir,2001,Jail Breaks,0,0,0,0,0
Jammu & Kashmir,2001,Clashes/Group Clashes Etc,0,0,0,0,0
Jammu & Kashmir,2001,Firings In Jail,0,0,0,0,0
Jammu & Kashmir,2002,Jail Breaks,0,0,0,0,0
Jammu & Kashmir,2002,Clashes/Group Clashes Etc,0,0,0,0,0
Jammu & Kashmir,2002,Firings In Jail,0,0,0,0,0
Jammu & Kashmir,2003,Jail Breaks,0,0,0,0,0
Jammu & Kashmir,2003,Clashes/Group Clashes Etc,0,0,0,0,0
Jammu & Kashmir,2003,Firings In Jail,0,0,0,0,0
Jammu & Kashmir,2004,Jail Breaks,0,0,0,0,0
Jammu & Kashmir,2004,Clashes/Group Clashes Etc,0,0,0,0,0
Jammu & Kashmir,2004,Firings In Jail,0,0,0,0,0
Jammu & Kashmir,2005,Jail Breaks,0,0,0,0,0
Jammu & Kashmir,2005,Clashes/Group Clashes Etc,0,0,0,0,0
Jammu & Kashmir,2005,Firings In Jail,0,0,0,0,0
Jammu & Kashmir,2006,Jail Breaks,0,0,0,0,0
Jammu & Kashmir,2006,Clashes/Group Clashes Etc,1,51,4,0,0
Jammu & Kashmir,2006,Firings In Jail,0,0,0,0,0
Jammu & Kashmir,2007,Jail Breaks,0,0,0,0,0
Jammu & Kashmir,2007,Clashes/Group Clashes Etc,0,0,0,0,0
Jammu & Kashmir,2007,Firings In Jail,0,0,0,0,0
Jammu & Kashmir,2008,Jail Breaks,0,0,0,0,0
Jammu & Kashmir,2008,Clashes/Group Clashes Etc,0,0,0,0,0
Jammu & Kashmir,2008,Firings In Jail,0,0,0,0,0
Jammu & Kashmir,2009,Jail Breaks,0,0,0,0,0
Jammu & Kashmir,2009,Clashes/Group Clashes Etc,0,0,0,0,0
Jammu & Kashmir,2009,Firings In Jail,0,0,0,0,0
Jammu & Kashmir,2010,Jail Breaks,0,0,0,0,0
Jammu & Kashmir,2010,Clashes/Group Clashes Etc,0,0,0,0,0
Jammu & Kashmir,2010,Firings In Jail,0,0,0,0,0
